site,status,power_mw_it_current,power_mw_total_current,power_mw_total_peak,peak_date,pue,buildings_operational,capex_peak_usd_bn,water_mgd,observations
AWS Berwick,expanding,77.0,102.0,212.0,2027-08-01,1.32,2,6.4,0.13,10
AWS New Albany,expanding,213.0,255.0,405.0,2027-07-01,1.2,9,12.8,,5
Alibaba Zhangbei,operational,169.0,203.0,203.0,2026-01-03,1.2,6,6.4,,4
Amazon Madison Mega Site,expanding,284.0,341.0,819.0,2028-03-15,1.2,5,25.87,,7
Amazon Ridgeland,expanding,228.0,273.0,1008.0,2028-09-29,1.2,4,31.82,,5
Anthropic Barber Lake,under_construction,,,300.0,2027-04-30,,,7.84,,5
Anthropic Lake Mariner,expanding,42.0,49.0,441.0,2027-03-31,1.17,1,14.32,,6
Anthropic-Amazon New Carlisle,expanding,910.0,1092.0,2310.0,2028-03-17,1.2,16,72.92,21.0,12
Colossus 1,expanding,340.0,425.0,442.0,2025-07-22,1.25,1,12.88,,13
Colossus 2,expanding,946.0,1276.0,2065.0,2027-02-25,1.35,2,58.0,,7
Core42 Lake Mariner,operational,58.0,58.0,58.0,2026-03-31,1.0,2,2.2,,5
CoreWeave Chester VA,expanding,82.0,114.0,197.0,2027-06-30,1.39,2,4.28,,6
CoreWeave Dalton 1 & 2,operational,28.0,40.0,40.0,2026-02-20,1.43,1,1.06,,4
CoreWeave Denton TX,expanding,262.0,367.0,395.0,2027-05-31,1.4,7,10.68,,8
CoreWeave Ellendale ND,expanding,68.0,88.0,520.0,2027-06-01,1.29,1,15.15,,9
CoreWeave Lancaster Greenfield site,under_construction,,,124.0,2027-06-30,,,3.49,,3
CoreWeave Marble NC,operational,65.0,91.0,91.0,2026-05-06,1.4,1,2.46,,4
CoreWeave Muskogee OK,under_construction,,,181.0,2027-12-31,,,5.8,,5
CoreWeave Norway,operational,42.0,50.0,50.0,2025-07-27,1.19,1,1.59,,3
Coreweave Helios,under_construction,,,800.0,2029-01-01,,,20.0,,7
Crusoe Abilene Expansion,under_construction,,,941.0,2027-11-11,,,25.46,,4
DayOne Nusajaya,expanding,240.0,336.0,662.0,2026-10-02,1.4,6,17.92,,5
EcoDataCenter 2,under_construction,,,67.0,2028-06-30,,,1.82,,5
Goodnight,under_construction,,,1294.1,2027-10-01,,,38.11,,7
Google Arcola,operational,77.0,93.0,93.0,2026-06-16,1.21,1,2.92,,4
Google Bristow,operational,238.0,286.0,286.0,2026-05-20,1.2,3,9.02,,4
Google Cedar Rapids,under_construction,,,314.0,2027-05-23,,,9.89,,7
Google Columbus,expanding,303.0,364.0,464.0,2027-07-01,1.2,4,14.62,,9
Google Council Bluffs (East),operational,237.0,284.0,284.0,2026-07-07,1.2,3,8.98,,6
Google Fort Wayne,under_construction,,,1035.0,2028-06-23,,,32.69,,11
Google Kansas City East,under_construction,,,126.0,2026-08-01,,,3.98,,7
Google Lancaster,operational,137.0,164.0,164.0,2025-10-31,1.2,2,5.19,,5
Google Lincoln,expanding,141.0,170.0,339.0,2027-10-01,1.21,1,10.72,,4
Google Mesa,expanding,90.0,126.0,237.0,2026-08-15,1.4,1,6.93,,5
Google Midlothian,operational,103.0,123.0,123.0,2026-07-01,1.19,1,3.9,,4
Google New Albany,operational,333.0,400.0,400.0,2025-10-14,1.2,4,12.61,0.97,7
Google Omaha,expanding,237.0,284.0,474.0,2028-07-23,1.2,3,14.96,0.09,11
Google Papillion,operational,237.0,284.0,284.0,2024-08-03,1.2,3,8.98,0.09,7
Google Pryor (North),expanding,53.0,63.0,442.0,2026-09-06,1.19,1,13.94,2.28,5
Google Red Oak,expanding,77.0,93.0,185.0,2026-12-01,1.21,1,5.83,,4
Google Storey County,expanding,161.0,214.0,389.0,2027-06-30,1.33,2,11.36,,6
Google The Dalles,operational,154.0,185.0,185.0,2026-04-29,1.2,2,5.83,,3
Google Waltham Cross,operational,88.0,124.0,124.0,2025-09-01,1.41,1,3.33,,3
Huawei Horinger,expanding,184.3,212.0,414.6,2028-02-14,1.15,4,13.12,,12
Huawei Wuhu,expanding,157.0,181.0,526.0,2027-12-01,1.15,4,17.31,,10
Meta Aiken,under_construction,,,90.0,2026-08-07,,,2.61,,3
Meta Bowling Green,under_construction,,,570.0,2028-01-01,,,15.99,,6
Meta Cheyenne,expanding,152.0,182.0,249.0,2027-02-15,1.2,2,7.84,,5
Meta Eagle Mountain,operational,133.0,179.0,179.0,2025-12-07,1.35,2,5.04,,4
Meta Gallatin,operational,87.0,114.0,114.0,2026-06-15,1.31,1,3.3,,3
Meta Huntsville,operational,146.0,198.0,198.0,2026-06-02,1.36,2,5.53,,6
Meta Hyperion,under_construction,,,2203.0,2028-01-01,,,61.82,,5
Meta Jeffersonville,operational,178.0,241.0,241.0,2026-06-04,1.35,2,6.74,,3
Meta Kuna,operational,152.0,198.0,198.0,2026-06-01,1.3,2,5.76,0.07,3
Meta Los Lunas,operational,87.0,105.0,105.0,2026-03-01,1.21,1,3.3,,2
Meta Montgomery,expanding,153.0,199.0,465.0,2027-02-23,1.3,2,13.56,,6
Meta Prometheus,expanding,496.0,645.0,1328.0,2028-07-01,1.3,11,38.72,,13
Meta Rosemount,operational,178.0,241.0,241.0,2026-06-19,1.35,2,6.74,,3
Meta Sarpy,under_construction,,,105.0,2026-08-02,,,3.03,,3
Meta Temple,expanding,152.0,198.0,231.0,2026-09-30,1.3,2,6.74,,7
Meta-QTS Hillsboro 2,operational,180.0,243.0,243.0,2024-11-08,1.35,4,6.82,,6
Microsoft Fairwater Atlanta,operational,636.0,859.0,859.0,2026-06-14,1.35,4,24.09,,5
Microsoft Fairwater Wisconsin,expanding,369.0,442.0,2715.0,2028-05-13,1.2,1,85.73,0.01,7
Microsoft Goodyear,operational,202.0,263.0,263.0,2025-09-01,1.3,4,7.65,,6
Microsoft Narvik Norway,under_construction,,,124.0,2026-12-31,,,3.49,,6
Microsoft Project Osmium,operational,190.0,228.0,228.0,2025-03-01,1.2,4,7.2,,6
Microsoft SAT14,operational,47.0,66.0,66.0,2026-03-31,1.4,2,1.78,,5
