provider_id,holding_company,technology_code,technology_code_desc,location_count_res,unit_count_res,location_count_bus,unit_count_bus
130002,"3 Rivers Telephone Cooperative, Inc.",10,Copper,3248,4334,3248,4334
130002,"3 Rivers Telephone Cooperative, Inc.",50,Fiber to the Premises,17773,20299,17773,20299
130008,Ace Telephone Association,10,Copper,9495,11085,9498,11091
130008,Ace Telephone Association,50,Fiber to the Premises,30309,35812,30362,35891
130008,Ace Telephone Association,70,Unlicensed Fixed Wireless,252,279,252,279
130008,Ace Telephone Association,72,LBR Fixed Wireless,53,54,53,54
130011,"Adak Eagle Enterprises, LLC",50,Fiber to the Premises,187,187,22,22
130012,Adams Telephone Co-Operative,50,Fiber to the Premises,31534,37802,31534,37802
130017,Agate Mutual Telephone Cooperative Association,10,Copper,7,7,7,7
130017,Agate Mutual Telephone Cooperative Association,50,Fiber to the Premises,182,185,182,185
130018,"Agri-Valley Communications, Inc.",10,Copper,4945,5333,725,828
130018,"Agri-Valley Communications, Inc.",50,Fiber to the Premises,7266,8472,1368,2050
130018,"Agri-Valley Communications, Inc.",71,Licensed Fixed Wireless,66099,73593,66099,73593
130019,"Air Advantage, LLC",50,Fiber to the Premises,2398,2982,2398,2982
130019,"Air Advantage, LLC",70,Unlicensed Fixed Wireless,7405,9334,6892,8843
130019,"Air Advantage, LLC",72,LBR Fixed Wireless,31940,37148,31620,36800
130029,Alaska Power & Telephone Company,10,Copper,2824,2858,1610,1642
130029,Alaska Power & Telephone Company,50,Fiber to the Premises,4647,4854,2701,2818
130029,Alaska Power & Telephone Company,70,Unlicensed Fixed Wireless,116,116,108,108
130030,"Covington Electric Cooperative, Inc.",50,Fiber to the Premises,24558,25833,24558,25833
130031,Albany Mutual Telephone Association,50,Fiber to the Premises,7068,7609,7068,7609
130032,"Albion Telephone Company, Inc.",10,Copper,774,799,774,799
130032,"Albion Telephone Company, Inc.",50,Fiber to the Premises,5551,5750,5551,5750
130032,"Albion Telephone Company, Inc.",70,Unlicensed Fixed Wireless,903,946,903,946
130034,"Alenco Communications, Inc.",10,Copper,10,28,10,28
130034,"Alenco Communications, Inc.",50,Fiber to the Premises,16645,19029,16645,19029
130034,"Alenco Communications, Inc.",70,Unlicensed Fixed Wireless,17208,18978,17208,18978
130034,"Alenco Communications, Inc.",71,Licensed Fixed Wireless,3309,3374,3309,3374
130034,"Alenco Communications, Inc.",72,LBR Fixed Wireless,2536,2578,2536,2578
130035,Algona Municipal Utilities,40,Cable,1879,2023,179,216
130035,Algona Municipal Utilities,50,Fiber to the Premises,765,810,284,429
130036,"Alhambra-Grantfork Communications, Inc.",40,Cable,362,367,362,367
130036,"Alhambra-Grantfork Communications, Inc.",50,Fiber to the Premises,3710,3814,3710,3814
130037,"All West Communications, Inc.",10,Copper,8117,8253,8117,8253
130037,"All West Communications, Inc.",40,Cable,20303,25414,20303,25414
130037,"All West Communications, Inc.",50,Fiber to the Premises,40824,47377,40824,47377
130037,"All West Communications, Inc.",70,Unlicensed Fixed Wireless,88,88,88,88
130039,"Allen's TV Cable Service, Inc.",40,Cable,20044,23209,20044,23209
130039,"Allen's TV Cable Service, Inc.",50,Fiber to the Premises,12537,13999,12537,13999
130040,"Alliance Communications Cooperative, Inc.",50,Fiber to the Premises,21625,24537,21625,24537
130043,Alma Communications Company,50,Fiber to the Premises,383,386,383,386
130043,Alma Communications Company,70,Unlicensed Fixed Wireless,357,368,357,368
130044,"Alma Telecom, Inc.",40,Cable,8335,9308,8335,9308
130044,"Alma Telecom, Inc.",50,Fiber to the Premises,9712,11266,9712,11266
130045,"Alpine Communications, LLC",10,Copper,433,433,433,433
130045,"Alpine Communications, LLC",50,Fiber to the Premises,10452,10921,10452,10921
130045,"Alpine Communications, LLC",70,Unlicensed Fixed Wireless,5815,6305,5815,6305
130045,"Alpine Communications, LLC",72,LBR Fixed Wireless,957,963,957,963
130046,Alta Municipal Utilities,40,Cable,764,850,115,136
130046,Alta Municipal Utilities,50,Fiber to the Premises,0,0,4,5
130057,"Amery Telcom, Inc.",40,Cable,2982,3599,2982,3599
130057,"Amery Telcom, Inc.",50,Fiber to the Premises,18073,20781,18073,20781
130058,Amherst Telephone Company,10,Copper,266,278,266,278
130058,Amherst Telephone Company,50,Fiber to the Premises,16115,17593,16115,17593
130059,"Amplex Electric, Inc.",10,Copper,68,80,68,80
130059,"Amplex Electric, Inc.",50,Fiber to the Premises,14890,15607,14890,15607
130059,"Amplex Electric, Inc.",70,Unlicensed Fixed Wireless,1408,1447,1408,1447
130059,"Amplex Electric, Inc.",71,Licensed Fixed Wireless,99933,120020,99933,120020
130059,"Amplex Electric, Inc.",72,LBR Fixed Wireless,2079,2204,2079,2204
130065,Arapahoe Telephone Company,10,Copper,2037,2193,2037,2193
130065,Arapahoe Telephone Company,40,Cable,384,401,384,401
130065,Arapahoe Telephone Company,50,Fiber to the Premises,1528,1661,1528,1661
130065,Arapahoe Telephone Company,70,Unlicensed Fixed Wireless,1899,2027,1899,2027
130065,Arapahoe Telephone Company,71,Licensed Fixed Wireless,32286,36757,32286,36757
130065,Arapahoe Telephone Company,72,LBR Fixed Wireless,1482,1565,1482,1565
130067,"Arctic Slope Telephone Association Cooperative, Inc.",10,Copper,183,188,63,64
130067,"Arctic Slope Telephone Association Cooperative, Inc.",50,Fiber to the Premises,1944,2030,711,736
130068,West Kentucky Rural Telephone Cooperative Corp. Inc.,10,Copper,18135,19420,18135,19420
130068,West Kentucky Rural Telephone Cooperative Corp. Inc.,50,Fiber to the Premises,66625,71587,66625,71587
130069,"Arkansas Telephone Company, Inc.",10,Copper,4231,4272,369,400
130069,"Arkansas Telephone Company, Inc.",50,Fiber to the Premises,4068,4094,383,520
130070,"Spectracomm, Inc.",50,Fiber to the Premises,5681,5760,5681,5760
130071,"Armstrong Holdings, Inc.",10,Copper,12243,13232,12243,13232
130071,"Armstrong Holdings, Inc.",40,Cable,290054,337937,290054,337937
130071,"Armstrong Holdings, Inc.",50,Fiber to the Premises,191221,221931,193121,224354
130073,Arthur Mutual Telephone Company,50,Fiber to the Premises,2844,2872,2844,2872
130074,"Arvig Enterprises, Inc.",10,Copper,56928,60580,56928,60580
130074,"Arvig Enterprises, Inc.",40,Cable,28679,32310,28679,32310
130074,"Arvig Enterprises, Inc.",50,Fiber to the Premises,62928,69883,62928,69883
130077,AT&T Inc.,10,Copper,23407885,34513743,23407885,34513743
130077,AT&T Inc.,50,Fiber to the Premises,19375357,24084708,19375357,24084708
130077,AT&T Inc.,71,Licensed Fixed Wireless,38684058,57292445,14179088,31742277
130079,"Radiate Holdings, LP",10,Copper,12631,40782,12631,40782
130079,"Radiate Holdings, LP",40,Cable,2213311,4432381,2213311,4432381
130079,"Radiate Holdings, LP",50,Fiber to the Premises,336065,931947,336065,931947
130079,"Radiate Holdings, LP",70,Unlicensed Fixed Wireless,81242,99489,81242,99489
130081,"ATN International, Inc.",10,Copper,59470,91564,7900,18682
130081,"ATN International, Inc.",40,Cable,33432,57222,33432,57222
130081,"ATN International, Inc.",50,Fiber to the Premises,9838,18777,5011,11783
130081,"ATN International, Inc.",70,Unlicensed Fixed Wireless,58831,86792,5867,16976
130081,"ATN International, Inc.",71,Licensed Fixed Wireless,458904,583618,30147,69587
130081,"ATN International, Inc.",72,LBR Fixed Wireless,29241,33710,4877,6690
130082,Atlantic Telephone Membership Corporation,40,Cable,29235,31236,29235,31236
130082,Atlantic Telephone Membership Corporation,50,Fiber to the Premises,102468,114384,102468,114384
130083,"Atlas Telephone Company, Inc.",10,Copper,19,21,1,1
130083,"Atlas Telephone Company, Inc.",50,Fiber to the Premises,818,832,199,207
130084,"Atwood Cable Systems, Inc.",40,Cable,798,836,798,836
130084,"Atwood Cable Systems, Inc.",50,Fiber to the Premises,44,59,44,59
130087,Ayersville Telephone Company,10,Copper,1038,1048,53,55
130087,Ayersville Telephone Company,50,Fiber to the Premises,1095,1105,77,80
130090,"Baca Valley Telephone Company, Inc.",10,Copper,704,749,704,749
130090,"Baca Valley Telephone Company, Inc.",50,Fiber to the Premises,904,1171,904,1171
130090,"Baca Valley Telephone Company, Inc.",70,Unlicensed Fixed Wireless,3273,3614,3273,3614
130090,"Baca Valley Telephone Company, Inc.",72,LBR Fixed Wireless,275,298,275,298
130092,"Baldwin Nashville Telephone Company, Inc.",50,Fiber to the Premises,449,454,449,454
130093,"Baldwin Telecom, Inc.",50,Fiber to the Premises,11849,14450,13166,16134
130094,"Ballard Rural Telephone Cooperative Corporation, Inc.",50,Fiber to the Premises,6630,6912,6630,6912
130095,Baraga Telephone Company Inc.,10,Copper,6610,7497,6610,7497
130095,Baraga Telephone Company Inc.,50,Fiber to the Premises,17834,26319,17834,26319
130096,Barnes City Cooperative Telephone Company,10,Copper,63,63,63,63
130096,Barnes City Cooperative Telephone Company,50,Fiber to the Premises,227,231,227,231
130097,Barry County Services Company,10,Copper,3994,4028,0,0
130097,Barry County Services Company,50,Fiber to the Premises,5347,5377,464,592
130097,Barry County Services Company,71,Licensed Fixed Wireless,1,1,0,0
130097,Barry County Services Company,72,LBR Fixed Wireless,15018,15583,15018,15583
130098,Bascom Mutual Telephone Company,50,Fiber to the Premises,5868,6537,5868,6537
130098,Bascom Mutual Telephone Company,70,Unlicensed Fixed Wireless,5376,5698,5376,5698
130098,Bascom Mutual Telephone Company,71,Licensed Fixed Wireless,27574,29549,27574,29549
130103,"Beamspeed, LLC",40,Cable,2141,2445,2141,2445
130103,"Beamspeed, LLC",50,Fiber to the Premises,2839,3872,2839,3872
130103,"Beamspeed, LLC",70,Unlicensed Fixed Wireless,116767,156516,116767,156516
130104,Beaver Creek Cooperative Telephone Company,10,Copper,7568,8851,7568,8851
130104,Beaver Creek Cooperative Telephone Company,40,Cable,7995,8846,7995,8846
130104,Beaver Creek Cooperative Telephone Company,50,Fiber to the Premises,2011,3135,2011,3135
130105,"Bee Creek Communications, LLC",50,Fiber to the Premises,1,1,0,0
130105,"Bee Creek Communications, LLC",70,Unlicensed Fixed Wireless,59326,70421,59326,70421
130106,Beehive Telephone Companies,10,Copper,374,412,374,412
130106,Beehive Telephone Companies,40,Cable,13,15,13,15
