country,sites,ai_sites,multi_tenant,single_tenant,operator_known,ai_mw_current,ai_mw_peak
US,1595,92,771,328,1407,0,0
FR,354,0,124,25,321,0,0
DE,343,0,145,67,305,0,0
BR,311,0,154,56,295,0,0
GB,266,1,96,39,228,0,0
IN,238,0,116,38,194,0,0
ID,163,1,101,21,158,0,0
CA,162,1,87,26,144,0,0
AU,152,1,84,31,147,0,0
NL,136,0,92,19,131,0,0
IT,130,0,64,21,114,0,0
CN,123,3,15,10,40,0,0
JP,116,0,56,6,96,0,0
RU,113,0,53,8,98,0,0
AR,93,0,41,15,79,0,0
NZ,91,0,55,12,87,0,0
PL,88,0,49,8,78,0,0
ES,87,0,43,12,77,0,0
CH,78,0,45,8,75,0,0
MX,60,0,22,10,55,0,0
AT,59,0,40,10,58,0,0
SE,58,0,35,17,57,0,0
TR,51,0,22,7,48,0,0
NO,49,2,21,7,44,0,0
RO,49,0,17,14,46,0,0
UA,46,0,31,8,44,0,0
BE,45,0,22,6,42,0,0
CL,44,0,17,8,40,0,0
DK,44,0,21,11,43,0,0
HK,42,0,33,2,40,0,0
MY,41,1,14,5,31,0,0
ZA,41,0,21,1,36,0,0
KR,40,0,16,8,37,0,0
PH,38,0,15,3,27,0,0
FI,37,0,26,3,34,0,0
TH,35,0,24,1,32,0,0
BD,34,0,12,8,32,0,0
CZ,34,0,12,8,30,0,0
SG,28,0,15,7,24,0,0
CO,27,0,13,0,19,0,0
IE,27,0,11,10,25,0,0
BG,26,0,17,1,24,0,0
PK,25,0,7,1,17,0,0
TW,25,0,9,4,19,0,0
HU,24,0,3,1,19,0,0
PT,22,1,8,0,17,0,0
IL,21,0,14,1,17,0,0
VE,20,0,4,0,19,0,0
PE,18,0,7,2,16,0,0
VN,18,0,8,2,17,0,0
NG,17,0,9,3,17,0,0
HR,16,0,7,0,13,0,0
IR,16,0,0,0,5,0,0
AE,15,1,2,4,12,0,0
EC,15,0,4,1,11,0,0
IS,15,0,8,1,15,0,0
LT,15,0,5,3,13,0,0
SI,14,0,6,5,12,0,0
CR,12,0,1,2,9,0,0
GR,12,0,6,2,9,0,0
LV,12,0,5,0,11,0,0
RS,12,0,9,0,11,0,0
TZ,12,0,8,3,12,0,0
KE,11,0,9,1,10,0,0
LU,11,0,8,1,11,0,0
KZ,10,0,5,1,7,0,0
PR,10,0,7,0,10,0,0
AZ,9,0,2,4,6,0,0
BH,9,0,0,5,9,0,0
KH,8,0,4,2,8,0,0
PA,8,0,3,2,7,0,0
SK,8,0,4,0,6,0,0
AL,7,0,4,1,6,0,0
AM,7,0,0,3,7,0,0
AO,7,0,2,4,6,0,0
EE,7,0,7,0,7,0,0
GH,7,0,4,1,6,0,0
MM,7,0,1,3,7,0,0
SA,7,0,4,1,6,0,0
EG,6,0,4,1,6,0,0
GU,6,0,5,1,6,0,0
MD,6,0,1,1,5,0,0
MK,6,0,3,1,4,0,0
MZ,6,0,3,0,5,0,0
PY,6,0,4,1,5,0,0
TT,6,0,1,4,6,0,0
UZ,6,0,1,2,6,0,0
CM,5,0,5,0,5,0,0
DO,5,0,4,1,5,0,0
GE,5,0,3,0,3,0,0
IQ,5,0,1,0,3,0,0
MA,5,0,1,1,3,0,0
MU,5,0,1,0,5,0,0
BT,4,0,1,0,4,0,0
BY,4,0,1,0,3,0,0
JO,4,0,3,1,4,0,0
LB,4,0,0,2,3,0,0
LI,4,0,1,1,4,0,0
NP,4,0,0,1,3,0,0
QA,4,0,4,0,4,0,0
UG,4,0,2,0,3,0,0
BF,3,0,2,1,3,0,0
BO,3,0,0,2,3,0,0
CD,3,0,2,1,3,0,0
CG,3,0,1,1,3,0,0
ET,3,0,1,1,2,0,0
GA,3,0,2,1,3,0,0
GT,3,0,0,1,3,0,0
LK,3,0,0,0,2,0,0
RW,3,0,0,0,3,0,0
SD,3,0,1,0,3,0,0
SV,3,0,0,0,0,0,0
TN,3,0,0,0,2,0,0
CI,2,0,0,1,2,0,0
CW,2,0,1,0,1,0,0
CY,2,0,1,0,2,0,0
IM,2,0,0,0,2,0,0
KW,2,0,0,1,2,0,0
LA,2,0,0,0,1,0,0
MG,2,0,0,0,1,0,0
MW,2,0,0,0,1,0,0
NC,2,0,1,0,2,0,0
OM,2,0,1,1,2,0,0
PG,2,0,0,0,1,0,0
SL,2,0,2,0,2,0,0
SN,2,0,1,0,2,0,0
SR,2,0,0,0,2,0,0
UY,2,0,1,1,2,0,0
AQ,1,0,0,0,1,0,0
BA,1,0,1,0,1,0,0
BI,1,0,0,0,1,0,0
BL,1,0,1,0,1,0,0
BN,1,0,0,1,1,0,0
BS,1,0,1,0,1,0,0
BW,1,0,0,1,1,0,0
CV,1,0,0,0,0,0,0
DJ,1,0,0,0,1,0,0
FO,1,0,0,0,0,0,0
GF,1,0,1,0,1,0,0
GN,1,0,1,0,1,0,0
GP,1,0,1,0,1,0,0
GQ,1,0,0,1,1,0,0
KG,1,0,0,1,1,0,0
LS,1,0,0,0,0,0,0
ML,1,0,0,1,1,0,0
MO,1,0,0,0,0,0,0
MP,1,0,0,1,1,0,0
MV,1,0,1,0,1,0,0
NA,1,0,1,0,1,0,0
NR,1,0,0,0,0,0,0
PS,1,0,1,0,1,0,0
SO,1,0,0,1,1,0,0
SY,1,0,0,0,0,0,0
TJ,1,0,1,0,1,0,0
TV,1,0,0,0,0,0,0
VU,1,0,1,0,1,0,0
ZM,1,0,0,1,1,0,0
ZW,1,0,0,0,1,0,0
