asset_id,dependency_id
site-b034c54b77,sub-kintigh
site-dcb5e135f7,sub-kintigh
site-0ac8f5546f,sub-greenidge
site-eb4a572344,sub-dennison
site-ce1dbeb705,sub-reynolds
site-eb4a572344,sub-dennison
site-dcb5e135f7,sub-stamp
f052,sub-clay
f052,sub-clay
site-b034c54b77,sub-kintigh
site-f24da2b13a,sub-adams
site-f24da2b13a,sub-packard
site-9f5976f614,sub-buchanan
site-960ffbbfd9,sub-holbrook
site-960ffbbfd9,sub-sills-rd
site-0ac8f5546f,sub-greenidge
site-d5381827c7,sub-huntley
site-d5381827c7,sub-packard
site-4f55e97e99,sub-haverstock
site-4f55e97e99,sub-adirondack
site-4f55e97e99,sub-haverstock
site-4f55e97e99,sub-adirondack
site-4f55e97e99,sub-haverstock
site-4f55e97e99,sub-adirondack
site-eb4a572344,sub-haverstock
site-eb4a572344,sub-adirondack
site-b034c54b77,sub-kintigh
site-733bb89680,sub-milliken
site-dfc74ea9b2,sub-clay
site-b66aebf3a0,sub-east-fishkill
site-b66aebf3a0,sub-wood-street
site-cb6283f416,sub-haverstock
site-cb6283f416,sub-adirondack
site-f24da2b13a,sub-packard
site-f24da2b13a,sub-packard
site-f24da2b13a,sub-packard
