dependency_id,dependency_type,dependency_name
sub-buchanan,POWER_SUBSTATION,Buchanan
sub-clay,POWER_SUBSTATION,Clay
sub-coopers-corner,POWER_SUBSTATION,Coopers Corner
sub-cricket-valley,POWER_SUBSTATION,Cricket Valley
sub-dennison,POWER_SUBSTATION,Dennison
sub-east-fishkill,POWER_SUBSTATION,East Fishkill
sub-general-electric-r-d-national-grid,POWER_SUBSTATION,General Electric R&D National Grid
sub-holbrook,POWER_SUBSTATION,Holbrook
sub-homer-hill,POWER_SUBSTATION,Homer Hill
sub-huntley,POWER_SUBSTATION,Huntley
sub-leeds,POWER_SUBSTATION,Leeds
sub-maplewood,POWER_SUBSTATION,Maplewood
sub-menands,POWER_SUBSTATION,Menands
sub-moses,POWER_SUBSTATION,Moses
sub-packard,POWER_SUBSTATION,Packard
sub-patroon-creek,POWER_SUBSTATION,Patroon Creek
sub-pleasant-valley,POWER_SUBSTATION,Pleasant Valley
sub-ramapo,POWER_SUBSTATION,Ramapo
sub-rock-hill,POWER_SUBSTATION,Rock Hill
sub-rome,POWER_SUBSTATION,Rome
sub-rosa-road,POWER_SUBSTATION,Rosa Road
sub-somerset,POWER_SUBSTATION,Somerset
sub-state-campus,POWER_SUBSTATION,State Campus
sub-tallman,POWER_SUBSTATION,Tallman
sub-va-elm-farm,POWER_SUBSTATION,Elm Farm
sub-va-hopewell,POWER_SUBSTATION,Hopewell
sub-va-mountain-run,POWER_SUBSTATION,Mountain Run
sub-va-poe,POWER_SUBSTATION,Poe
sub-woodard-ln,POWER_SUBSTATION,Woodard LN
sub-woodlawn,POWER_SUBSTATION,Woodlawn
