facility_type,source,name,epoch_name,operator,country,lat,lon,geo_precision,power_mw_it,h100_equivalents,chip_types,users,energy_companies,capex_usd_bn,address,ref,city,utility,osm_id,matched_osm
traditional,osm,Cellnex,,,NL,52.168085,5.896548,exact,,,,,,,,,,,599587508,
traditional,osm,Telstra,,Telstra,AU,-32.06536,115.801413,exact,,,,,,,,,,,688791288,
traditional,osm,Equinix AM7,,Equinix,NL,52.303059,4.937939,exact,,,,,,,,AM7,Amsterdam,,717740190,
traditional,osm,CoreSite DC1,,CoreSite,US,38.902888,-77.029149,exact,,,,,,,,,,,751881301,
traditional,osm,,,ATW,HU,47.517995,19.055096,exact,,,,,,,,Dataland II.,Budapest,,1530992851,
traditional,osm,スーパーコンピュータ「富岳」,,,JP,34.653435,135.220403,exact,,,,,,,,,,,1668495487,
traditional,osm,BT Games,,Apple Inc.,ZA,-26.182545,28.240977,exact,,,,,,,,,,,1690221178,
traditional,osm,"Дата-центр ""Вконтакте""",,,RU,59.911792,30.57781,exact,,,,,,,,,,,1825748032,
traditional,osm,Southwest Cyberport,,,US,35.103293,-106.589349,exact,,,,,,,,,Albuquerque,,1825907839,
traditional,osm,ForHLR II,,Steinbuch Centre for Computing,DE,49.096037,8.433431,exact,,,,,,,,,,,2042844290,
traditional,osm,,,,IL,32.092984,34.858558,exact,,,,,,,,,,,2117775176,
traditional,osm,Association ReptiGo,,,FR,49.223391,6.011147,exact,,,,,,,,RG2,,,2161096396,
traditional,osm,CGCO,,UFJF,BR,-21.776294,-43.371444,exact,,,,,,,,,,,2473922003,
traditional,osm,SFR Netcenter Courbevoie,,SFR,FR,48.903752,2.257787,exact,,,,,,,,,Courbevoie,,2556825308,
traditional,osm,SDSU Computer Room,,,US,32.775025,-117.070888,exact,,,,,,,,,,,2607827436,
traditional,osm,WorldStream,,,NL,52.001217,4.210811,exact,,,,,,,,,Naaldwijk,,2625645063,
traditional,osm,Selectel Tsvetochnaya 1,,Selectel,RU,59.886598,30.329422,exact,,,,,,,,Tsvetochnaya 1,,,2639510695,
traditional,osm,LeaseWeb AMS-01,,LeaseWeb,NL,52.391724,4.664735,exact,,,,,,,,AMS-01,Haarlem,,2719885481,
traditional,osm,Dataplace datacenter Arnhem,,Eurofiber Cloud Infra,NL,51.987004,5.934036,exact,,,,,,,,,Arnhem,,2727100158,
traditional,osm,Equinix TR1,,Equinix,CA,43.644529,-79.384389,exact,,,,,,,,TR1,Toronto,,2733736931,
traditional,osm,Eurofiber Data Center Amsterdam,,Eurofiber,NL,52.290378,4.687072,exact,,,,,,,,,Hoofddorp,,2733775996,
traditional,osm,Databarn Amsterdam,,Databarn Amsterdam B.V.,NL,52.396422,4.851146,exact,,,,,,,,,Amsterdam,,2738247230,
traditional,osm,NorthC Datacenters Amsterdam,,NorthC,NL,52.393411,4.849431,exact,,,,,,,,,Amsterdam,,2738247376,
traditional,osm,Digital Realty AMS3,,Digital Realty,NL,52.284149,4.770914,exact,,,,,,,,AMS3,Schiphol-Rijk,,2745065082,
traditional,osm,Digital Realty AMS5,,Digital Realty,NL,52.280066,4.754278,exact,,,,,,,,AMS5,Schiphol-Rijk,,2745065224,
traditional,osm,EdgeConneX AMS01,,EdgeConneX,NL,52.284056,4.766111,exact,,,,,,,,AMS01,Schiphol-Rijk,,2745065709,
traditional,osm,EdgeConneX AMS03,,EdgeConneX,NL,52.283679,4.76686,exact,,,,,,,,AMS03,Schiphol-Rijk,,2745066611,
traditional,osm,Digital Realty AMS6,,Digital Realty,NL,52.285322,4.765982,exact,,,,,,,,AMS6,Schiphol-Rijk,,2745067310,
traditional,osm,EdgeConneX AMS04,,EdgeConneX,NL,52.281587,4.767777,exact,,,,,,,,AMS04,Schiphol-Rijk,,2745067837,
traditional,osm,Digital Realty AMS11,,Digital Realty,NL,52.284487,4.765117,exact,,,,,,,,AMS11,Schiphol-Rijk,,2745067999,
traditional,osm,EdgeConneX AMS02,,EdgeConneX,NL,52.282793,4.767631,exact,,,,,,,,AMS02,Schiphol-Rijk,,2745068942,
traditional,osm,EdgeConneX AMS05,,EdgeConneX,NL,52.284321,4.767234,exact,,,,,,,,AMS05,Schiphol-Rijk,,2745069131,
traditional,osm,Equinix,,Equinix,NL,52.237064,6.849501,exact,,,,,,,,,Enschede,,2749411762,
traditional,osm,NorthC Datacenter Aalsmeer,,NorthC,NL,52.259796,4.773358,exact,,,,,,,,,Aalsmeer,,2765259404,
traditional,osm,Databarn Rivium,,Databarn Rivium B.V.,NL,51.910233,4.546707,exact,,,,,,,,,Capelle aan den IJssel,,2784121253,
traditional,osm,Global Switch Amsterdam,,Global Switch,NL,52.34401,4.828865,exact,,,,,,,,,Amsterdam,,2808423607,
traditional,osm,Colt Amsterdam Van der Madeweg,,,NL,52.328144,4.925951,exact,,,,,,,,,Amsterdam-Duivendrecht,,2827483282,
traditional,osm,Solcon Droten,,,NL,52.539205,5.702279,exact,,,,,,,,,Dronten,,2837886894,
traditional,osm,Serverius DC1,,,NL,52.543723,5.705073,exact,,,,,,,,,Dronten,,2837888139,
traditional,osm,Digital Realty,,Digital Realty,NL,52.333732,4.918864,exact,,,,,,,,,Amsterdam,,2840442643,
