name,operator,county,state,type,ref,sqft,lon,lat
Meta Henrico Data Center,Meta,Henrico County,VA,campus,,4671056.0,-77.236455,37.482763
Microsoft Data Center 1,Microsoft,Prince William County,VA,building,1,248706.0,-77.582379,38.802411
,,Prince William County,VA,building,,52906.0,-77.510577,38.803415
Amazon IAD11,Amazon Web Services,Prince William County,VA,building,Amazon IAD11,122474.0,-77.541111,38.7905
Amazon IAD24,Amazon Web Services,Prince William County,VA,building,IAD24,31388.0,-77.540006,38.79035
Amazon IAD7,Amazon Web Services,Prince William County,VA,building,Amazon IAD-7,109423.0,-77.538277,38.791204
VA 4,Digital Realty,Prince William County,VA,building,,263538.0,-77.594876,38.778111
Amazon IAD10,Amazon Web Services,Loudoun County,VA,building,IAD10,112726.0,-77.432876,39.021646
Amazon IAD32,Amazon Web Services,Loudoun County,VA,building,IAD32,35700.0,-77.434794,39.021569
Centersquare IAD1-B,Centersquare,Loudoun County,VA,building,IAD1-B,79070.0,-77.41519,39.023907
Centersquare IAD1-A,Centersquare,Loudoun County,VA,building,IAD1-A,89830.0,-77.413201,39.023321
Centersquare IAD1-C,Centersquare,Loudoun County,VA,building,IAD1-C,135383.0,-77.412204,39.024756
STACK NVA01A - Northern Virginia,Stack Infrastructure,Loudoun County,VA,building,NVA01A,179330.0,-77.441764,39.004699
VA3,Digital Realty,Fairfax County,VA,building,VA3,96241.0,-77.327295,38.948464
IAD1,Evocative,Fairfax County,VA,building,IAD1,19325.0,-77.32941,38.948816
CoreSite Reston Campus VA1,CoreSite,Fairfax County,VA,building,,138035.0,-77.364548,38.950586
CoreSite Reston VA3,CoreSite,Fairfax County,VA,building,,249707.0,-77.37237,38.948468
,,Fairfax County,VA,building,,19578.0,-77.225838,38.913702
Equinix DC97,,Fairfax County,VA,building,,43991.0,-77.377423,38.961571
Amazon IAD-55,Amazon Web Services,Prince William County,VA,building,IAD55,228140.0,-77.648764,38.815062
COPT Data Center,,Prince William County,VA,building,,127955.0,-77.531845,38.747281
OVH US East Vint Hill,,Fauquier County,VA,building,,85783.0,-77.674454,38.747445
Equinix Ashburn DC2,Equinix,Loudoun County,VA,building,DC2,175215.0,-77.459006,39.016471
H5 Data Centers Ashburn,H5,Loudoun County,VA,building,Ashburn,83656.0,-77.45172,39.013675
Lumen McLean,Lumen Technologies,Fairfax County,VA,building,,42056.0,-77.211619,38.920021
DataBank McLean IAD2,DataBank,Fairfax County,VA,building,IAD2,22957.0,-77.213585,38.919905
Digital Realty,Digital Realty,Fairfax County,VA,building,,72337.0,-77.47258,38.910133
Flexential - Richmond,Flexential,Henrico County,VA,building,,39778.0,-77.438695,37.64689
Amazon IAD-9,Amazon Web Services,Fairfax County,VA,building,IAD-9,85855.0,-77.45344,38.899652
Amazon IAD22,,Fairfax County,VA,building,,30140.0,-77.455102,38.897902
Amazon IAD-1,Amazon Web Services,Fairfax County,VA,building,IAD-1,93882.0,-77.454075,38.897859
,,Fairfax County,VA,building,,43330.0,-77.472245,38.909245
,,Fairfax County,VA,building,,32222.0,-77.473466,38.909798
,,Fairfax County,VA,building,,56049.0,-77.196273,38.750817
Centersquare IAD3,Centersquare,Loudoun County,VA,building,IAD3,130748.0,-77.444247,38.980925
Centersquare IAD2-A,Centersquare,Loudoun County,VA,building,IAD2-A,48153.0,-77.423817,38.984418
,CyrusOne,Loudoun County,VA,building,CyrusOne Northern Virginia Sterling IV,127744.0,-77.425649,38.984887
Centersquare IAD2-B,Centersquare,Loudoun County,VA,building,IAD2-B,71819.0,-77.424105,38.983604
Digital Realty ACC4,Digital Realty,Loudoun County,VA,building,ACC4,294156.0,-77.462549,39.017902
Equinix Ashburn DC1,Equinix,Loudoun County,VA,building,DC1,59757.0,-77.460327,39.01556
Equinix Ashburn DC5,Equinix,Loudoun County,VA,building,DC5,94665.0,-77.461248,39.015987
Equinix Ashburn DC11,Equinix,Loudoun County,VA,building,DC11,132897.0,-77.458804,39.014931
Equinix Ashburn DC3,Equinix,Loudoun County,VA,building,DC3,186227.0,-77.460287,39.021948
Digital Realty ACC3,Digital Realty,Loudoun County,VA,building,ACC3,151562.0,-77.459842,39.019936
Amazon IAD76,Amazon Web Services,Loudoun County,VA,building,IAD76,138071.0,-77.450509,38.993785
Amazon IAD12,Amazon Web Services,Loudoun County,VA,building,Amazon IAD12,149598.0,-77.447671,38.988723
,QTS Data Centers,Loudoun County,VA,building,QTS Moran (The Vault),10175.0,-77.447902,38.994637
Digital Realty ACC5,Digital Realty,Loudoun County,VA,building,ACC5,298859.0,-77.463071,39.020113
Digital Realty ACC6,Digital Realty,Loudoun County,VA,building,ACC6,226152.0,-77.46359,39.021068
Level 3 Ashburn,Lumen Technologies,Loudoun County,VA,building,,49022.0,-77.457595,39.022173
Centersquare IAD4-B,Centersquare,Loudoun County,VA,building,IAD4-B,90029.0,-77.45361,39.02214
NTT Ashburn VA1 Data Center,NTT,Loudoun County,VA,building,VA1,138507.0,-77.454869,39.022764
Equinix DC13,Equinix,Loudoun County,VA,building,DC13,125613.0,-77.475393,39.012537
Digital Realty Northern Virginia IAD14,Digital Realty,Loudoun County,VA,building,IAD14,134503.0,-77.487093,39.003336
Amazon Web Services Building C,Amazon Web Services,Loudoun County,VA,building,,116698.0,-77.485449,39.002752
Digital Realty Northern Virginia IAD12,Digital Realty,Loudoun County,VA,building,IAD12,180269.0,-77.483345,39.002022
Digital Realty Building A,Digital Realty,Loudoun County,VA,building,,133113.0,-77.481954,39.002755
Digital Realty Northern Virginia IAD24,Digital Realty,Loudoun County,VA,building,IAD24,114428.0,-77.484355,39.004292
Databank Ashburn IAD1,Databank,Loudoun County,VA,building,IAD1,144740.0,-77.482138,39.015549
Golds Gym Ashburn,,Loudoun County,VA,building,,54700.0,-77.483271,39.015601
Equinix DC7,Equinix,Fairfax County,VA,building,DC7,79709.0,-77.220557,38.909139
Element Critical VA1,,Fairfax County,VA,building,,20483.0,-77.219744,38.908368
VISA Data Center,,Loudoun County,VA,building,,349987.0,-77.445416,39.048728
"CyrusOne NVA1, NVA2 & NVA3",CyrusOne,Loudoun County,VA,building,NVA1;NVA2;NVA3,265601.0,-77.414523,39.025947
CyrusOne NVA5,CyrusOne,Loudoun County,VA,building,NVA5,506948.0,-77.434034,39.024327
Equinix CU2,Equinix,Culpeper County,VA,campus,,1299936.0,-77.978187,38.454937
Equinix Ashburn DC10,Equinix,Loudoun County,VA,building,DC10,152397.0,-77.451513,39.021014
Amazon Web Services Datacenter Complex,Amazon Web Services,Loudoun County,VA,campus,,1088049.0,-77.451065,39.026575
Amazon Web Services,Amazon Web Services,Loudoun County,VA,campus,,1022344.0,-77.458662,39.02887
Amazon IAD-61,Amazon Web Services,Loudoun County,VA,building,Amazon IAD-61,152289.0,-77.491987,38.915805
,,Loudoun County,VA,campus,,709715.0,-77.442196,38.986502
Amazon IAD51,Amazon Web Services,Loudoun County,VA,building,Amazon IAD51,64127.0,-77.436507,38.991414
Amazon IAD56,Amazon Web Services,Loudoun County,VA,building,Amazon IAD56,78441.0,-77.437062,38.990568
Amazon IAD16,Amazon Web Services,Loudoun County,VA,building,Amazon IAD16,75817.0,-77.448825,38.990699
Amazon IAD15,Amazon Web Services,Loudoun County,VA,building,Amazon IAD15,103452.0,-77.44858,38.991693
Amazon IAD14,Amazon Web Services,Prince William County,VA,building,IAD14,118192.0,-77.548217,38.789932
Amazon IAD59,Amazon Web Services,Prince William County,VA,building,IAD59,127281.0,-77.54845,38.792226
Amazon IAD52,Amazon Web Services,Prince William County,VA,building,IAD52,126699.0,-77.548372,38.791069
,,Loudoun County,VA,building,,35740.0,-77.448189,38.994227
Centersquare IAD4-A,Centersquare,Loudoun County,VA,building,IAD4-A,77749.0,-77.452747,39.021734
AWS Building E,Amazon Web Services,Loudoun County,VA,building,,153355.0,-77.485612,39.005052
Amazon IAD78,Amazon Web Services,Loudoun County,VA,building,IAD78,147979.0,-77.44952,39.026368
Amazon IAD79,Amazon Web Services,Loudoun County,VA,building,IAD79,148678.0,-77.45087,39.026357
Amazon IAD87,Amazon Web Services,Loudoun County,VA,building,IAD87,147390.0,-77.441168,38.991814
Amazon IAD88,Amazon Web Services,Loudoun County,VA,building,IAD88,147468.0,-77.44187,38.990964
Amazon IAD73,Amazon Web Services,Prince William County,VA,building,IAD73,146162.0,-77.559099,38.777979
Amazon IAD74,Amazon Web Services,Prince William County,VA,building,IAD74,147480.0,-77.557891,38.777437
Amazon IAD63,Amazon Web Services,Loudoun County,VA,building,IAD63,143980.0,-77.493251,38.916885
Amazon IAD62,Amazon Web Services,Loudoun County,VA,building,IAD62,149941.0,-77.519875,38.949322
Amazon IAD71,Amazon Web Services,Loudoun County,VA,building,IAD71,121176.0,-77.457503,39.027908
Amazon IAD50,Amazon Web Services,Loudoun County,VA,building,IAD50,202194.0,-77.459683,39.02957
Amazon IAD60,Amazon Web Services,Loudoun County,VA,building,IAD60,110965.0,-77.458246,39.028774
Amazon IAD80,Amazon Web Services,Loudoun County,VA,building,IAD80,150443.0,-77.452829,39.027109
Equinix Ashburn DC12,Equinix,Loudoun County,VA,building,DC12,96380.0,-77.449758,39.023007
Digital Realty Northern Virginia IAD36,Digital Realty,Loudoun County,VA,building,IAD36,112516.0,-77.479344,39.001552
Digital Realty Northern Virginia IAD35,Digital Realty,Loudoun County,VA,building,IAD35,206225.0,-77.480595,39.000511
Digital Realty Northern Virginia IAD37,Digital Realty,Loudoun County,VA,building,IAD37,144298.0,-77.47807,39.00001
