queue,developer,project,submitted,mw,end_use,end_use_reading,asset_class,type_fuel,county,state,zone,poi_raw,poi_names,poi_kv,poi_shape,utility,ato,status,in_service
205,National Grid,Luther Forest,2005-11-02,40,,,,Load Interconnection,Saratoga,NY,F,Round Lake 115kV,Round Lake,115,line_end,NM-NG,,14,I/S
849,"Somerset Operating Company, LLC",Somerset Load,2019-05-21,250,,,,Load Interconnection,Niagara,NY,A,Kintigh 345kV,Kintigh,345,line_end,NYSEG,,14,I/S
1446,Air Products and Chemicals Inc,Massena Green Hydrogen,2022-10-05,110,,,,Load Interconnection,St Lawrence,NY,E,Haverstock - Adirondack 345 kV line 1,Haverstock | Adirondack,345 | 345,line_end,NYPA,,0,
1465,"Digihost Technologies, Inc.",Digihost load,2022-11-14,50.2,,,,Load Interconnection,Niagara,NY,A,Walck Rd. 115kV,Walck Rd,115,line_end,NM-NG,,14,I/S
0290A,Green Island Power Authority,Green Island Power,2008-04-07,20,,,,Load Interconnection,Albany,NY,F,Maplewood - Johnson Rd 115kV,Maplewood | Johnson Rd,115 | 115,line_end,NM-NG,,14,I/S
0311,NY State Electric & Gas,Concord Casino,2008-09-24,48,,,,Load Interconnection,Sullivan,NY,E,Coopers Corner - Rock Hill,Coopers Corner | Rock Hill, | ,line_end,NYSEG,,0,
0359,National Grid,Verizon - Project Oasis,2010-12-20,75,,,,Load Interconnection,Niagara,NY,A,Somerset - Kintigh 345kV,Somerset | Kintigh,345 | 345,line_end,NYSEG,,0,
0423,Rochester Gas & Electric,University of Rochester,2013-11-17,25,,,,Load Interconnection,Monroe,NY,B,Station 251,,,,NYSEG,,0,
0580,Genesee County Economic Devel.,WNY STAMP,2016-09-27,300,DAT,data centre,datacentre,Load Interconnection,Genesee,NY,B,Kintigh/Niagara - New Rochester 345kV,Kintigh/Niagara,345,line_end,NYPA,,12,11-2026
0776,Greenidge Generation LLC,Greenidge Load,2018-10-22,60,DAT-CM,crypto mining,datacentre,Load Interconnection,Yates,NY,C,Greenidge 115kV,Greenidge,115,line_end,NYSEG,,7,04-2030
0850,"Cayuga Operating Company, LLC",Cayuga Load,2019-05-21,50,DAT-CM,crypto mining,datacentre,Load Interconnection,Cayuga,NY,C,Milliken 115kV,Milliken,115,line_end,NYSEG,,7,12-2026
0909,"PetaWatt Holdings, Inc.",Massena Load,2019-09-18,100,,,,Load Interconnection,St. Lawrence,NY,E,Dennison 115kV substation,Dennison,115,substation,NM-NG,,0,
0979,North Country Data Center,North Country Data Center,2020-01-22,435,DAT-CM,crypto mining,datacentre,Load Interconnection,St. Lawrence,NY,D,Reynolds 115kV,Reynolds,115,line_end,NYPA,,12,07-2026
1213,"ZeroC Data Centers, LLC",St Lawrence Data and Agricultural Center,2021-06-28,200,DAT-CM,crypto mining,datacentre,Load Interconnection,St. Lawrence,NY,D,Dennison 115kV substation,Dennison,115,substation,NM-NG,,10,01-2026
1315,"Sabey Data Center Properties, LLC",SDC St. Lawrence,2021-12-20,120,DAT,data centre,datacentre,Load Interconnection,St. Lawrence,NY,D,Moses-Reynolds MRG-1 and Moses-Reynolds MRG-2 at 115kV,Moses | Reynolds,115 | 115,line_end,NYPA,,6,08-2025
1484,GCEDC,580 STAMP load increase,2022-12-02,300,DAT,data centre,datacentre,Load Interconnection,Genesee,NY,B,115 kv STAMP substation,STAMP,115,substation,NM-NG,,12,11-2026
1521,Iroquois Gas Transmission System,IGTS Wright EMD Compressor,2023-02-14,14.3,,,,Load Interconnection,Schoharie,NY,F,Rotterdam - New Scotland #13 115kV line,Rotterdam,115,line_end,NM-NG,,0,
1522,Iroquois Gas Transmission System,GTS Dover EMD Compressor,2023-02-15,16.5,,,,Load Interconnection,Dutchess,NY,G,Pleasant Valley - Cricket Valley 345kV,Pleasant Valley | Cricket Valley,345 | 345,line_end,ConEd,,0,
1536,Micron New York Semiconductor Manufacturing LLC,White Pine Phase 1,2023-03-11,480,M-CH,chemical manufacturing,industrial,Load Interconnection,Onondaga,NY,C,Clay 345 kV Substation,Clay,345,substation,NM-NG,,12,05-2028
