region,osm_type,osm_id,name,operator,ref,building,telecom,addr_street,addr_city,addr_country,levels,website,lon,lat
US-VA,node,5225685660,Lumos Networks,,,,data_center,,,,,,-79.142706,37.415688
US-VA,node,7985753364,8100 Boone Boulevard,Digital Realty,,,data_center,Boone Boulevard,,,,,-77.225882,38.913724
US-VA,node,9092482804,Amazon Web Services IAD69,Amazon Web Services,IAD69,,data_center,,,,,,-77.4147,39.025485
US-VA,node,9669639033,Lumen McLean,Lumen Technologies,,,data_center,Old Meadow Road,McLean,,,,-77.211571,38.920854
US-VA,node,13154826378,NTT Ashburn VA7 Data Center,NTT,VA7,,data_center,Gigabit Plaza,Ashburn,,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/ashburn-va7-data-center,-77.471954,39.016014
US-VA,node,13154826379,NTT VA11 Data Center,NTT,VA11,,data_center,Grove Hill Boulevard,Gainesville,,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/ashburn-va11-data-center,-77.609964,38.799973
US-VA,node,13685576464,RIC1 DC1,Quality Technology Services,,,data_center,,,,,,-77.247476,37.489234
US-VA,node,13685576465,RIC1 DC2,Quality Technology Services,,,data_center,,,,,,-77.24621,37.488616
US-VA,node,13685576466,RIC1 DC3,Quality Technology Services,,,data_center,,,,,,-77.244826,37.487858
US-VA,node,13891340203,Vantage VA16,,,,data_center,Pacific Boulevard,Sterling,,,,-77.440637,38.998508
US-VA,node,14045039387,CloudHQ LC10,CloudHQ,LC10,,data_center,,,,,,-77.472678,39.00392
US-VA,node,14045039388,CloudHQ LC9,CloudHQ,LC9,,data_center,,,,,,-77.470436,39.003503
US-VA,node,14045039389,CloudHQ LC8,CloudHQ,LC8,,data_center,,,,,,-77.468333,39.00206
US-VA,node,14045039390,CloudHQ LC14,CloudHQ,LC14,,data_center,,,,,,-77.475951,39.006121
US-VA,node,14045039391,CloudHQ LC13,CloudHQ,LC13,,data_center,,,,,,-77.476723,39.004995
US-VA,node,14045039392,CloudHQ LC1,CloudHQ,LC1,,data_center,,,,,,-77.478515,39.005445
US-VA,node,14045039393,CloudHQ LC11,CloudHQ,LC11,,data_center,,,,,,-77.477699,39.006588
US-VA,node,14045039394,CloudHQ LC5,CloudHQ,LC5,,data_center,,,,,,-77.476734,39.009805
US-VA,node,14045039395,Cologix ASH2,Cologix,,data_center,data_center,Beaumeade Circle,Ashburn,,,https://cologix.com/data-centers/ashburn/ash2,-77.457953,39.019496
US-VA,node,14045092726,Sabey Data Centers Ashburn - Building A,Sabey Data Centers,,data_center,data_center,Red Rum Drive,Ashburn,,,https://sabeydatacenters.com/locations/ashburn-data-center,-77.476938,39.013795
US-VA,node,14045092727,NTT Ashburn VA8 Data Center,NTT,VA8,,data_center,Gigabit Plaza,Ashburn,,,,-77.475672,39.018788
US-VA,node,14152612201,EdgeCore Ashburn AS02,,,,data_center,Moran Road,Sterling,,,https://edgecore.com/locations/ashburn-data-center,-77.444001,38.994315
US-VA,node,14156477686,Equinix Ashburn DC18,Equinix,DC18,,data_center,Performance Circle,Ashburn,,,,-77.454281,39.025458
US-VA,way,45583050,,,,data_center,,,,,,,-77.510582,38.803434
US-VA,way,45776978,Amazon IAD11,Amazon Web Services,Amazon IAD11,data_center,data_center,Mason King Court,Manassas,,,,-77.54111,38.790495
US-VA,way,45776979,Amazon IAD24,Amazon Web Services,IAD24,yes,data_center,Mason King Court,Manassas,,,,-77.54001,38.790346
US-VA,way,45776988,Amazon IAD7,Amazon Web Services,Amazon IAD-7,data_center,data_center,Mason King Court,Manassas,,,,-77.538266,38.791199
US-VA,way,46831933,VA 4,Digital Realty,,data_center,data_center,Linton Hall Road,Bristow,US,,,-77.594905,38.778061
US-VA,way,48242814,Amazon IAD10,Amazon Web Services,IAD10,data_center,data_center,W Severn Way,Sterling,,,,-77.432973,39.021675
US-VA,way,48242816,Amazon IAD32,Amazon Web Services,IAD32,data_center,data_center,Squire Court,Sterling,,,,-77.434794,39.021569
US-VA,way,52094269,Centersquare IAD1-B,Centersquare,IAD1-B,data_center,data_center,Nokes Boulevard,Sterling,,,,-77.415209,39.023868
US-VA,way,52094270,Centersquare IAD1-A,Centersquare,IAD1-A,data_center,data_center,Nokes Boulevard,Sterling,,,,-77.413212,39.023298
US-VA,way,52094294,Centersquare IAD1-C,Centersquare,IAD1-C,data_center,data_center,Ridgetop Circle,Sterling,,,,-77.412204,39.024754
US-VA,way,59294476,STACK NVA01A - Northern Virginia,Stack Infrastructure,NVA01A,data_center,data_center,,,,,https://www.stackinfra.com/locations/northern-virginia/?data_center=nva01a,-77.44174,39.004693
US-VA,way,79158387,VA3,Digital Realty,VA3,data_center,data_center,Business Center Drive,Reston,,5,,-77.327307,38.948494
US-VA,way,79159494,IAD1,Evocative,IAD1,yes,data_center,Michael Faraday Court,Reston,,,https://evocative.com/data-centers/reston-va-data-center-iad1/,-77.329414,38.948812
US-VA,way,79298926,CoreSite Reston Campus VA1,CoreSite,,office,data_center,Sunrise Valley Drive,Reston,US,,,-77.36455,38.950606
US-VA,way,79818498,CoreSite Reston VA3,CoreSite,,yes,data_center,Sunrise Valley Drive,Reston,,,https://www.coresite.com/data-center/va3-reston-va,-77.37243,38.948334
US-VA,way,156468497,,,,data_center,,Boone Boulevard,,,5,,-77.225834,38.913702
US-VA,way,221897579,Equinix DC97,Equinix,,yes,data_center,Springpark Place,,,,,-77.377418,38.961573
US-VA,way,222672860,Amazon IAD-55,Amazon Web Services,IAD55,data_center,data_center,John Marshall Highway,Haymarket,,,,-77.64868,38.815021
US-VA,way,224100721,COPT Data Center,,,data_center,data_center,Hornbaker Road,Manassas,,,,-77.531826,38.74731
US-VA,way,225745958,OVH US East Vint Hill,,,commercial,data_center,Watson Court,,,,,-77.674465,38.74742
US-VA,way,234722029,Equinix Ashburn DC2,Equinix,DC2,data_center,data_center,Filigree Court,Ashburn,,,https://www.equinix.com/data-centers/americas-colocation/united-states-colocation/washington-dc-data-centers/dc2,-77.459069,39.016389
US-VA,way,234722720,H5 Data Centers Ashburn,H5 Data Centers,Ashburn,data_center,data_center,Beaumeade Circle,Ashburn,,,https://h5datacenters.com/ashburn-data-center.html,-77.451719,39.013678
US-VA,way,239147373,Lumen McLean,Lumen Technologies,,commercial,data_center,Old Meadow Road,McLean,,2,,-77.211619,38.920021
US-VA,way,239147724,DataBank McLean IAD2,DataBank,IAD2,data_center,data_center,Old Meadow Lane,McLean,,2,https://www.databank.com/data-centers/northern-virginia/mclean/,-77.213585,38.919905
US-VA,way,251716311,,,,commercial,data_center,Lafayette Center Drive,,,,,-77.468972,38.905901
US-VA,way,251716328,Digital Realty,Digital Realty,,data_center,data_center,Lafayette Center Drive,,,,,-77.472592,38.910116
US-VA,way,257581364,Flexential - Richmond,Flexential,,yes,data_center,Park Central Drive,Richmond,,,,-77.438695,37.64689
US-VA,way,258343744,Amazon IAD-9,Amazon Web Services,IAD-9,data_center,data_center,Westfax Drive,Chantilly,,,,-77.453444,38.899724
US-VA,way,258343748,Amazon IAD22,Amazon Web Services,IAD22,yes,data_center,,,,,,-77.455103,38.897905
US-VA,way,258343749,Amazon IAD-1,Amazon Web Services,IAD-1,data_center,data_center,Westfax Drive,Chantilly,,,,-77.454082,38.897864
US-VA,way,258519934,,,,data_center,data_center,Lafayette Center Drive,,,,,-77.472266,38.909237
US-VA,way,258519959,,,,data_center,data_center,Lafayette Center Drive,,,,,-77.473454,38.909796
US-VA,way,258520532,,,,commercial,data_center,Lafayette Center Drive,,,,,-77.475218,38.908136
US-VA,way,260996040,,,,data_center,,,,,,,-77.196272,38.750815
US-VA,way,262058094,Menlo Digital MD-DC1,,,yes,data_center,Mclearen Road,,,,,-77.424073,38.927119
US-VA,way,273895868,Centersquare IAD3,Centersquare,IAD3,yes,data_center,Wilder Court,Dulles,,,,-77.444379,38.980929
US-VA,way,273896089,Centersquare IAD2-A,Centersquare,IAD2-A,data_center,data_center,International Drive,Sterling,,,,-77.42381,38.98442
