site_id,layer,ref,lat,lon,reason,edited
site-f54144f9e9,,*,38.279131,-85.739009,"The point-queried parcel 10-19-00-101-376.000-010 is a 894 m² (~0.22 acre) lot in downtown Jeffersonville. The Indiana statewide parcel layer (the same layer the pipeline used) returns for the site coordinate: DLGF property address ""738 WATT STREET, JEFFERSONVILLE 47130"", DLGF property class code 51",2026-09-18T00:00:00Z
site-960ffbbfd9,,*,40.8315,-72.9395,"The point-queried parcel 636.00-01-006.005 is a neighbouring, unrelated town-owned lot, not the project's ground. NYS Tax Parcels (roll year 2025) records it as PATCHOGUE-YAPHANK RD, property class 330 (vacant commercial land), roll section 8 (wholly exempt), 11.88 ac, owner ""TOWN OF BROOKHAVEN C/O ",2026-09-18T00:00:00Z
site-6acacdd9ab,,*,43.459207,-116.421111,"The registry coordinate (43.459207, -116.421111) sits 8.5 m inside the north edge of Ada County parcel S2202121005 (325.69 ac per the State of Idaho Public Parcels layer; bbox lon -116.4289..-116.4139, lat 43.4445..43.4593), a lot just south of Kuna-Mora Rd directly south of Kuna. Meta's Kuna campus",2026-09-18T00:00:00Z
site-dcb5e135f7,,*,43.0859,-78.3975,"Parcel 10.-1-13.2 (Alabama, Genesee Co.; NYS Tax Parcels roll 2025) is a 7.5-acre, class-340 strip owned by ""Genesee County IDA"" (mail 99 MedTech Dr, Batavia = GCEDC, the public agency that owns and develops the STAMP park). Its ring is a rectangle ~500 m long by ~63 m wide (FRONT 1740 ft) running e",2026-09-18T00:00:00Z
site-1a531a56cb,,*,33.664742,-93.600378,"The point-queried parcel 700-04405-001 (Hempstead) is the lot under a Shell fuel station / convenience store at the corner of W 3rd St (US 67) and S Fulton St in Hope: the state parcel service gives owner ARLINGTON LAKESIDE GRO & GRILL, situs 901 W 3RD ST HOPE, 0.35 ac, commercial-improved (Lots 11-",2026-09-18T00:00:00Z
site-23ef4dc9c9,,*,39.185856,-85.887072,"The parcel (Bartholomew County 03-96-32-210-000.201-005, local id 15166) is 3110 Permawick Dr, Columbus IN 47201: a 2.818-acre I3 (Industrial Heavy) lot in Bartholomew Industrial Park, DLGF use class 340 ""Light Manufacturing & Assembly"", carrying a single 27,000 sq ft one-storey building built 1980,",2026-09-18T00:00:00Z
site-f8eec2271f,,*,41.110989,-73.39827,"The hit parcel (CT CAMA/Parcel layer OBJECTID 1237197, Link ""STATE"", no Parcel_ID, no owner, no CAMA record) is a state-owned linear right-of-way, not a building lot: Shape__Area 365,848 sq ft (8.4 ac) against a 9,082 ft perimeter, i.e. a ~1.3 km long, ~28 m wide strip running ENE with a rounded wes",2026-09-18T00:00:00Z
site-42079cf9d6,,*,39.182544,-85.897349,"The point-queried parcel 039631000000300005 (03-96-31-000-000.300-005) is NOT the data centre's lot. Bartholomew County's own parcel layer (39 Degrees North / Elevate ArcGIS service that backs bartholomewin.elevatemaps.io, linked from the county assessor page) records it as ""LOT 2A - TECHNOLOGY PARK",2026-09-18T00:00:00Z
site-47593f20fd,,*,39.759735,-86.17136,"The queried parcel 49-11-11-183-001.014-101 (Marion County local 1382950) is Indy Telcom Center LOT 11 with situs 711 W HENRY ST, 0.91 ac, owned by NETRALITY INDY MULTIPARCEL OWNER LLC (Netrality Data Centers, 50 S 16th St Philadelphia). Netrality owns most of the Indy Telcom Center campus lots but ",2026-09-18T00:00:00Z
site-faf5942f1a,,*,46.939993,-67.905588,"The site is an OSM-only feature: way 1534758773, a ~770 m2 building tagged building=yes / name=Datacenter / telecom=data_center, created 2026-07-03 in changeset 185013433 whose comment is ""Tagging Loring Job Corps Center + Defense Finance and Accounting Service"". The building sits inside the OSM Lor",2026-09-18T00:00:00Z
site-4c26665080,,*,40.421822,-86.91535,"There is no data-centre project here. The registry entry comes solely from OSM node 7264976228, tagged only name=""Learning GIS!"" + telecom=data_center, created 2020-03-04 by user ""Kyle Robi"" in a one-node changeset (81795311) whose comment is ""Learning GIS"", made with the iD editor. It is a novice t",2026-09-18T00:00:00Z
site-9cadba43c9,,*,25.791545,-80.317748,"The queried parcel (folio 30-3035-008-0030) is Lot 3 Block 1 of the Airport Corporate Center office park at 7415 NW 19 St, Miami 33126: a 4.31-acre lot with a 46,417 sq ft one-storey office building built in 1983, land use 'OFFICE BUILDING - ONE STORY'. Its owner, SPUS7 MIAMI ACC LAND LP (c/o Boca R",2026-09-18T00:00:00Z
site-50d28b3cc2,,*,25.932848,-80.121136,"The point-query landed on the lot that the registered address points to, but that lot is not a data-centre campus. Miami-Dade folio 31-2211-076-0001 is the 'RO Reference' parent folio of JADE SIGNATURE CONDO (16901 Collins Ave, Sunny Isles Beach), a 57-storey residential condominium tower completed ",2026-09-18T00:00:00Z
site-36cbb35213,,*,43.567545,-116.207057,"The point-queried parcel S1027314800 is not Syringa's ground. Ada County's own parcel layer (Land_Information/Parcels, served through the county portal proxy) records it as owner ""HARTFORD SUE ANNE"" (a private individual, mailing 1086 E Opus St, Boise), situs 3870 S DEVELOPMENT AVE, 0.19 acres, zoni",2026-09-18T00:00:00Z
site-80d2a2cf2b,,*,39.730981,-75.627882,"The FirstMap parcel 0703740118 (0.87 ac) does contain the site coordinate, and New Castle County's own Ownership layer gives its situs as 3422 (and 3424) OLD CAPITOL TRL, Wilmington DE 19808 (subdivision Minker Subd / Cranston Heights), owner ""804 PARTNERS, C/O 804 LLC, 3422 Old Capitol Tr"" - so the",2026-09-18T00:00:00Z
