zone,area,area_name,is_virginia_edc,year,mw
AE,AE,AE,,2027,0.0
AE,AE,AE,,2028,0.0
AE,AE,AE,,2029,0.0
AE,AE,AE,,2030,0.0
AE,AE,AE,,2031,0.0
AE,AE,AE,,2032,0.0
AE,AE,AE,,2033,0.0
AE,AE,AE,,2034,0.0
AE,AE,AE,,2035,0.0
AE,AE,AE,,2036,0.0
AE,AE,AE,,2037,0.0
AE,AE,AE,,2038,0.0
AE,AE,AE,,2039,0.0
AE,AE,AE,,2040,0.0
AE,AE,AE,,2041,0.0
AE,AE,AE,,2042,0.0
AE,AE,AE,,2043,0.0
AE,AE,AE,,2044,0.0
AE,AE,AE,,2045,0.0
AE,AE,AE,,2046,0.0
BGE,BGE,BGE,,2026,18.0
BGE,BGE,BGE,,2027,25.0
BGE,BGE,BGE,,2028,43.0
BGE,BGE,BGE,,2029,110.0
BGE,BGE,BGE,,2030,176.0
BGE,BGE,BGE,,2031,243.0
BGE,BGE,BGE,,2032,307.0
BGE,BGE,BGE,,2033,355.0
BGE,BGE,BGE,,2034,355.0
BGE,BGE,BGE,,2035,355.0
BGE,BGE,BGE,,2036,355.0
BGE,BGE,BGE,,2037,354.0
BGE,BGE,BGE,,2038,354.0
BGE,BGE,BGE,,2039,354.0
BGE,BGE,BGE,,2040,354.0
BGE,BGE,BGE,,2041,354.0
BGE,BGE,BGE,,2042,354.0
BGE,BGE,BGE,,2043,354.0
BGE,BGE,BGE,,2044,354.0
BGE,BGE,BGE,,2045,354.0
BGE,BGE,BGE,,2046,355.0
DPL,DPL,DPL,,2027,0.0
DPL,DPL,DPL,,2028,0.0
DPL,DPL,DPL,,2029,0.0
DPL,DPL,DPL,,2030,0.0
DPL,DPL,DPL,,2031,0.0
DPL,DPL,DPL,,2032,0.0
DPL,DPL,DPL,,2033,0.0
DPL,DPL,DPL,,2034,0.0
DPL,DPL,DPL,,2035,0.0
DPL,DPL,DPL,,2036,0.0
DPL,DPL,DPL,,2037,0.0
DPL,DPL,DPL,,2038,0.0
DPL,DPL,DPL,,2039,0.0
DPL,DPL,DPL,,2040,0.0
DPL,DPL,DPL,,2041,0.0
DPL,DPL,DPL,,2042,0.0
DPL,DPL,DPL,,2043,0.0
DPL,DPL,DPL,,2044,0.0
DPL,DPL,DPL,,2045,0.0
DPL,DPL,DPL,,2046,0.0
JCPL,JCPL,JCPL,,2027,0.0
JCPL,JCPL,JCPL,,2028,0.0
JCPL,JCPL,JCPL,,2029,1.0
