area,utility,sites,ai_sites,mw_2026,mw_2030,mw_2035,mw_2046
AEPOHIO,OHIO POWER CO,85,3,1744,6131,13683,18133
BGE,BALTIMORE GAS & ELECTRIC CO,13,0,18,176,355,355
COMED,COMMONWEALTH EDISON CO,71,0,885,5176,10789,10870
DAY,DAYTON POWER & LIGHT CO,2,0,0,954,2242,2244
DEOK,DUKE ENERGY OHIO INC,13,0,0,0,0,0
DLCO,DUQUESNE LIGHT CO,12,0,0,46,87,87
DOM,VIRGINIA ELECTRIC & POWER CO,401,7,4386,6413,9292,16380
IM,INDIANA MICHIGAN POWER CO,14,2,955,2534,2593,2593
JCPL,JERSEY CENTRAL POWER & LT CO,9,0,0,77,245,245
METED,METROPOLITAN EDISON CO,1,0,0,75,234,234
NVEC,NORTHERN VIRGINIA ELEC COOP,113,2,1995,4888,8729,13116
OHIO,OHIO EDISON CO,28,2,132,1098,2114,2156
PE,THE POTOMAC EDISON COMPANY,2,0,165,1026,2039,2189
PECO,PECO ENERGY CO,9,0,17,824,1698,1702
PEPCO,POTOMAC ELECTRIC POWER CO,6,0,0,0,610,730
PP,PENNSYLVANIA POWER CO,15,0,0,31,55,55
PPL,PPL ELECTRIC UTILITIES CORP,9,0,189,4996,6282,6284
PSEG,PUBLIC SERVICE ELEC & GAS CO,55,0,308,1446,2602,2710
REC,RAPPAHANNOCK ELECTRIC COOP,2,0,300,1913,3329,5114
SMECO,SOUTHERN MARYLAND ELEC COOP INC,0,0,0,142,336,334
WPP,WEST PENN POWER COMPANY,4,0,0,151,386,386
