source,locality,name,operator,operator_confidence,operator_raw,operator_osm,osm_ref,status,sq_ft,mw,utility,utility_confidence,utility_candidates,utility_boundary_m,self_generation,self_generation_source,parcel_id,zoning_case,lon,lat
loudoun_existing,Loudoun County,NOKES PLAZA,Peterson/Medina,matched_osm_differs,MEDINA DC 2 ASSETS LLC,Centersquare,IAD1-A,BUILT,88490,,Dominion (VEPCO),unambiguous,,4646,yes (air permit),DEQ 74164 [operating],030297084000,,-77.413159,39.023261
loudoun_existing,Loudoun County,NOKES PLAZA,Peterson/Medina,matched_osm_differs,MEDINA DC 2 ASSETS LLC,Centersquare,IAD1-B,BUILT,76811,,Dominion (VEPCO),unambiguous,,4605,yes (air permit),DEQ 74306 [planned],030391106000,,-77.415248,39.023877
loudoun_existing,Loudoun County,ALIGNED ENERGY,Aligned,matched,ALIGNED DATA CENTERS RELO PROPCO LLC,Aligned,IAD03,BUILT,372751,,Dominion (VEPCO),unambiguous,,1080,yes (air permit),DEQ 74247 [operating],045279612000,ZMAP-2022-0008,-77.440864,38.98852
loudoun_existing,Loudoun County,STAVERTON/SEVERN,Amazon Web Services,osm_tag,ELECTRIC BUILDING LLC,Amazon Web Services,IAD32,BUILT,36000,,Dominion (VEPCO),unambiguous,,4938,yes (air permit),DEQ 74114 [operating],042295813000,,-77.434731,39.021509
loudoun_existing,Loudoun County,BEAUMEADE,NTT / RagingWire,matched_osm_differs,RAGINGWIRE DATA CENTERS INC,NTT,VA1,BUILT,109320,,Dominion (VEPCO),unambiguous,,4139,yes (air permit),DEQ 73954 [operating],060298548000,ZRTD-2010-0005,-77.454865,39.022651
loudoun_existing,Loudoun County,BEAUMEADE,Equinix,osm_tag,BEAUMEADE TECHNOLOGY PARTNERS LLC,Equinix,DC10,BUILT,152504,,Dominion (VEPCO),unambiguous,,4145,yes (air permit),DEQ 74290 [planned],060108050000,,-77.45114,39.020877
loudoun_existing,Loudoun County,LOUDOUN TECH CENTER,Peterson/Medina,matched_osm_differs,MEDINA DC 2 ASSETS LLC,Centersquare,IAD1-C,BUILT,136482,,Dominion (VEPCO),unambiguous,,4468,yes (air permit),DEQ 74086 [operating],030399036000,,-77.412337,39.024797
loudoun_existing,Loudoun County,BEAUMEADE,Centersquare,osm_tag,MONTEREY DC ASSETS LLC,Centersquare,IAD4,BUILT,164405,,Dominion (VEPCO),unambiguous,,4141,yes (air permit),DEQ 73954 [operating],060202337000,,-77.453288,39.021935
loudoun_existing,Loudoun County,BROAD RUN TECHNOLOGY PARK,Verisign (enterprise),matched,VERISIGN INC,,,BUILT,136908,,Dominion (VEPCO),unambiguous,,2134,yes (air permit),DEQ 74315 [planned],044174648000,,-77.443685,38.997733
loudoun_existing,Loudoun County,DIGITAL REALTY CAMPUS 1,Digital Realty,matched_osm_differs,G I P STOUGHTON LLC,Amazon Web Services,,BUILT,135000,,Dominion (VEPCO),unambiguous,,1493,yes (air permit),DEQ 73355 [operating],089372808000,ZMAP-1989-0038,-77.485344,39.002684
