name,operator,address,city,country,lat,lon,geo_precision,facility_type,power_mw_it,ref,utility,note,added
"Treetop Development / Donovan Drive Holdings site, Lime Kiln Corporate Park, Donovan Drive","Treetop Companies (Treetop Development, Teaneck NJ) via SPV ",,,US,41.523000,-73.812000,exact,ai,,NYISO #1738,,"research-identified 2026-09-09 (high): NYISO #1738 (queued 2025-07-17), 1,000 MW, Dutchess County, Con Edison, POI East Fishkill-Wood Street 345 kV lines 38/39, filer Donovan Drive Holdings LLC. Town of East Fishkill forestry inspection le | https://www.interconnection.fyi/project/nyiso-1738",2026-09-09
"Arconic Massena Operations (former Alcoa West plant), 45 County Route 42, Massena NY",Arconic Corporation (Apollo Global Management portfolio comp,,,US,44.952000,-74.888000,exact,ai,,NYISO #1730,,"research-identified 2026-09-09 (high): NYISO #1730 (queued 2025-03-07), 467 MW load, St. Lawrence County, filer Arconic Corporation, POI NYPA 'Haverstock to Adirondak 345kV line HA-1'. datacenter.fyi lists three Arconic entries - Arsenal D | https://www.interconnection.fyi/project/nyiso-1730",2026-09-09
North Country Colocation Services (NCCS) Massena — former Reynolds Metals / Alcoa East sme,"North Country Colocation Services (NCCS), wholly owned subsi",,,US,44.982000,-74.751000,exact,ai,,NYISO #0979,,"research-identified 2026-09-09 (high): Queue applicant 'North Country Data Center' = North Country Data Center Corp. (NY DOS ID 5318609, One Vanderbilt Ave 65th Fl, NYC). NCCS's Feb-2024 comment letter (on letterhead '194 County Road 45, M | https://www.bakerbotts.com/~/media/files/comment-letters/north-country-colocation-services-comments-(1).pdf",2026-09-09
"WNY STAMP (Science, Technology & Advanced Manufacturing Park) — Stream US Data Centers 'Ge",Genesee County Economic Development Center (substation owner,,,US,43.086000,-78.397000,exact,ai,,NYISO #0580/#1484,,"research-identified 2026-09-09 (high): interconnection.fyi shows #0580 'WNY STAMP', Genesee County Economic Development, 300 MW load, POI 'Kintigh/Niagara - New Rochester 345kV', TO NYPA, queued 9/27/2016 (the Dec-2021 snapshot carried it  | https://www.interconnection.fyi/project/nyiso-0580",2026-09-09
Riverview Innovation & Technology Campus (former Tonawanda Coke site),"Riverview Innovation & Technology Campus, Inc. (owners Jon W",,,US,42.983000,-78.926000,exact,ai,,NYISO #1726,,"research-identified 2026-09-09 (high): Riverview Innovation & Technology Campus, Inc. is the entity redeveloping the former Tonawanda Coke plant at 3875 and 3800 River Road, Town of Tonawanda, Erie County (~140 ac; coke plant 1917-2018, bo | https://www.interconnection.fyi/project/nyiso-1726",2026-09-09
ZeroC / Petawatt Massena campus (417 County Route 42),"ZeroC Data Centers, LLC (majority-owned by Petawatt Holdings",,,US,44.949000,-74.863000,exact,ai,,NYISO #1731,,"research-identified 2026-09-09 (high): Massena Town Planning Board minutes 2025-02-20 (Site Plan Review #2): applicant 'ZeroC Data Centers LLC & Petawatt Holdings, Inc.', site 417 County Route 42, Massena (tax map 10.001-1-7.21, Industrial | https://www.massena.us/AgendaCenter/ViewFile/Minutes/_02202025-1061",2026-09-09
"Ranalli Lysander SuperDC site (Hencle Blvd & Oswego Rd, Town of Lysander)","Ranalli Super DC, LLC (James Ranalli / United Auto Supply)",,,US,43.185000,-76.351000,exact,ai,,NYISO #1736,,"research-identified 2026-09-09 (high): Ranalli Super DC, LLC owns a ~124-ac (listed 123.5 ac) vacant industrial-zoned parcel at the Hencle Boulevard / Oswego Road (NY-48) junction, Town of Lysander, Baldwinsville 13027 (Onondaga County), b | https://www.interconnection.fyi/project/nyiso-1736",2026-09-09
"466 Pontoon Bridge Road (former Air Products Massena Green Hydrogen parcel), Town of Masse",American Data Center Partners LLC (Delaware LLC formed 2025-,,,US,44.959000,-74.911000,exact,ai,,NYISO #1745,,"research-identified 2026-09-09 (high): Watertown Post's NYISO-queue piece names the pending project as 'the land sale involving American Data Centers Partners, LLC at 466 Pontoon Bridge Road' in Massena. Nominatim places no. 466 at 44.9593 | https://watertownpost.com/massena-faces-massive-data-center-power-requests-in-nyiso-queue/",2026-09-09
"Arconic Massena Operations, 45 County Route 42 (Alcoa/Arconic Massena West complex), Town ",Arconic Corporation (owned by Apollo Funds via Arsenal AIC P,,,US,44.953000,-74.883000,exact,ai,,NYISO #1728/#1729,,"research-identified 2026-09-09 (high): Queue filer is Arconic Corporation; 'Arsenal' is the name of Apollo's acquisition vehicle for Arconic (SEC DEFM14A: Parent = 'Arsenal AIC Parent LLC', Merger Sub = 'Arsenal AIC MergeCo Inc.', affiliat | https://www.sec.gov/Archives/edgar/data/1790982/000114036123030186/ny20009102x2_defm14a.htm",2026-09-09
"ZeroC / Petawatt Massena data center site, 417 County Route 42, Massena NY (Tax Map 10.001","ZeroC Data Centers, LLC (majority-owned by Petawatt Holdings",,,US,44.957000,-74.846000,exact,ai,,NYISO #1213,,"research-identified 2026-09-09 (high): NYS Tax Parcels Public layer returns two St. Lawrence County parcels owned by 'Zeroc Data Centers, LLC': 10.001-1-7.21 at 417 County Route 42 (67.76 ac, centroid 44.9564,-74.8490) and 10.001-1-31.12 o | https://www.interconnection.fyi/project/nyiso-1213",2026-09-09
