site_id,field,value,lat,lon,note,edited
site-01078bea30,lat,24.150290,24.479292,52.313949,"research-identified 2026-09-18 (high), skeptic-upheld: the centre of the two-hall block under construction (the yard between Stargate UAE Building 1 to the north and Building 2 to the south), pe…. OpenAI Stargate UAE, Abu Dhabi, Abu Dhabi, United Arab Emirates ... Jun 9, 2025 Land clearing begins for Building 1 and 2. Nov 16, 2025 Building 1 and 2 are pa… | https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae",2026-09-18T00:00:00Z
site-01078bea30,lon,54.442780,24.479292,52.313949,"research-identified 2026-09-18 (high), skeptic-upheld: the centre of the two-hall block under construction (the yard between Stargate UAE Building 1 to the north and Building 2 to the south), pe…. OpenAI Stargate UAE, Abu Dhabi, Abu Dhabi, United Arab Emirates ... Jun 9, 2025 Land clearing begins for Building 1 and 2. Nov 16, 2025 Building 1 and 2 are pa… | https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae",2026-09-18T00:00:00Z
site-01078bea30,geo_precision,exact,24.479292,52.313949,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-01078bea30,city,Al Bihouth,24.479292,52.313949,research-identified 2026-09-18: https://epoch.ai/data/ai-data-centers/directory/openai-stargate-uae,2026-09-18T00:00:00Z
site-nogeo-b4ffc8fb,lat,-37.817320,,,"research-identified 2026-09-18 (high), skeptic-upheld: the southern of the two large data-centre halls on the CDC Brooklyn Campus parcel (594-598 Geelong Road, north side of Geelong Road, immedi…. Southgate's first stages are under construction in Tasmania and Melbourne, with up to 150MW, representing 54,000 GB300 delivered by mid-2026. The Alliance's $4… | https://firmus.co/newsroom/southgate-expansion",2026-09-18T00:00:00Z
site-nogeo-b4ffc8fb,lon,144.844870,,,"research-identified 2026-09-18 (high), skeptic-upheld: the southern of the two large data-centre halls on the CDC Brooklyn Campus parcel (594-598 Geelong Road, north side of Geelong Road, immedi…. Southgate's first stages are under construction in Tasmania and Melbourne, with up to 150MW, representing 54,000 GB300 delivered by mid-2026. The Alliance's $4… | https://firmus.co/newsroom/southgate-expansion",2026-09-18T00:00:00Z
site-nogeo-b4ffc8fb,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-b4ffc8fb,address,"594-598 Geelong Road, Brooklyn VIC 3012",,,research-identified 2026-09-18: https://firmus.co/newsroom/southgate-expansion,2026-09-18T00:00:00Z
site-nogeo-b4ffc8fb,city,Brooklyn,,,research-identified 2026-09-18: https://firmus.co/newsroom/southgate-expansion,2026-09-18T00:00:00Z
site-nogeo-b235fb0f,lat,41.184270,,,"research-identified 2026-09-18 (high), skeptic-upheld: Building 3 (Epoch AI's numbering) — the middle of the row of four operational data halls on the east side of the campus; the whole campus f…. Embedded map data on the page: ""bounds"":[114.72708295526195, 41.18156139744451, 114.73766453843939, 41.185502220480345]; features tagged Building 1-6, Cooling … | https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei",2026-09-18T00:00:00Z
site-nogeo-b235fb0f,lon,114.736190,,,"research-identified 2026-09-18 (high), skeptic-upheld: Building 3 (Epoch AI's numbering) — the middle of the row of four operational data halls on the east side of the campus; the whole campus f…. Embedded map data on the page: ""bounds"":[114.72708295526195, 41.18156139744451, 114.73766453843939, 41.185502220480345]; features tagged Building 1-6, Cooling … | https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei",2026-09-18T00:00:00Z
site-nogeo-b235fb0f,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
site-nogeo-b235fb0f,city,Zhangbei,,,research-identified 2026-09-18: https://epoch.ai/data/data-centers/satellite-explorer/AlibabaZhangbeiZhangjiakouHebei,2026-09-18T00:00:00Z
site-4bf90e3a62,lat,40.543700,40.295248,111.904498,"research-identified 2026-09-18 (medium), skeptic-upheld: OSM node for Kelue village (克略村, id 9546672931) in the Cloud Valley (云谷片区) core of Horinger New Area — the village where Horinger County ap…. 该项目位于内蒙古和林格尔新区云谷片区…分为云谷西区、南区、北区三个片区建设，总占地面积约5963亩，共建设50栋数据中心、6座220KV变电站 | http://nmg.news.cn/20231008/57bb95be6791497db95bc7d2f229a68e/c.html",2026-09-18T00:00:00Z
site-4bf90e3a62,lon,111.815000,40.295248,111.904498,"research-identified 2026-09-18 (medium), skeptic-upheld: OSM node for Kelue village (克略村, id 9546672931) in the Cloud Valley (云谷片区) core of Horinger New Area — the village where Horinger County ap…. 该项目位于内蒙古和林格尔新区云谷片区…分为云谷西区、南区、北区三个片区建设，总占地面积约5963亩，共建设50栋数据中心、6座220KV变电站 | http://nmg.news.cn/20231008/57bb95be6791497db95bc7d2f229a68e/c.html",2026-09-18T00:00:00Z
site-4bf90e3a62,geo_precision,town,40.295248,111.904498,researched placement: only the town is known,2026-09-18T00:00:00Z
site-4bf90e3a62,city,Horinger,40.295248,111.904498,research-identified 2026-09-18: http://nmg.news.cn/20231008/57bb95be6791497db95bc7d2f229a68e/c.html,2026-09-18T00:00:00Z
site-nogeo-c39134aa,lat,1.188880,,,"research-identified 2026-09-18 (high), skeptic-upheld: Midpoint of the two 5-storey buildings tagged name=DayOne in OpenStreetMap (ways 1499931582 at 1.18860,104.10585 and 1499931583 at 1.18916,…. The Indonesia North (Batam) region is now available. The region identifier is ap-batam-1. The region key is HSG. This region has one availability domain. (Rele… | https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm",2026-09-18T00:00:00Z
site-nogeo-c39134aa,lon,104.105660,,,"research-identified 2026-09-18 (high), skeptic-upheld: Midpoint of the two 5-storey buildings tagged name=DayOne in OpenStreetMap (ways 1499931582 at 1.18860,104.10585 and 1499931583 at 1.18916,…. The Indonesia North (Batam) region is now available. The region identifier is ap-batam-1. The region key is HSG. This region has one availability domain. (Rele… | https://docs.oracle.com/en-us/iaas/releasenotes/oci/new-region-batam.htm",2026-09-18T00:00:00Z
site-nogeo-c39134aa,geo_precision,exact,,,researched placement: the point is inside the campus,2026-09-18T00:00:00Z
