sub_id,osm,osm_name,note,added
sub-adams,way/178196881,Buffalo Avenue Substation,"research-identified 2026-09-09 (medium-high), id verified in the NY extract, OSM county Niagara County: NYISO queue 1681 names the POI 'Adams to Packard 115kV lines 187 and 188' (utility NM-NG). OSM has no substation named Adams, but way 178196881 (name=Buffalo Avenue Substation, ref=215, operator=Natio | https://api.openstreetmap.org/api/0.6/way/178196881.json",2026-09-09
sub-beck-packard,way/147381638,Packard Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Niagara County: Queues 1747/1748 (Globe DH) list the POI 'Beck Packard 76 230kV' — the Sir Adam Beck (Ontario Power Generation, Queenston ON) to Packard (Niagara Falls NY) 230 kV international tie; the New York point | https://api.openstreetmap.org/api/0.6/way/147381638.json",2026-09-09
sub-greenidge,way/114751052,"(no name tag; power=substation, substation=generation, voltage=115000)","research-identified 2026-09-09 (medium-high), id verified in the NY extract, OSM county Yates County: Queues 0776/1725 list the POI 'NYSEG - Greenidge 115 kV Substation'. OSM maps the Greenidge plant as way 253670259 under the misspelled name 'Greenridge Generation LLC Power Plant' (operator Greenidge | https://api.openstreetmap.org/api/0.6/way/114751052/full.json",2026-09-09
sub-ilion-municipal,way/1318905044,(no name tag; operator=Village of Ilion),"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Herkimer County: Queue 1735 (Turin Management, Remington Factory Redevelopment, 100 MW, utility IMEU) lists POI 'Ilion Municipal 115kV substation'. OSM way 1318905044 is an unnamed power=substation with operator='Vill | https://api.openstreetmap.org/api/0.6/way/1318905044/full.json",2026-09-09
sub-johnson-rd,way/139791029,Johnson Road Station,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Albany County: Queue 0290A (Green Island Power Authority, in service) lists POI 'Maplewood - Johnson Rd 115kV'. OSM way 139791029 name=Johnson Road Station, operator=National Grid, ref=352, voltage=115000, substatio | https://api.openstreetmap.org/api/0.6/way/139791029.json",2026-09-09
sub-kintigh,way/115339578,Somerset Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Niagara County: OSM maps the Kintigh 345 kV yard under the retired plant's/town's name 'Somerset Substation' (operator NYSEG, voltage 345000, substation=generation) at the former Kintigh/Somerset Generating Station,  | https://www.openstreetmap.org/way/115339578",2026-09-09
sub-knickerbocker,way/1221667976,Knickerbocker Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Rensselaer County: OSM 'Knickerbocker Substation' (power=substation, substation=transmission, 345000) is the LS Power/NY Energy Solution 345 kV station in the Town of Schodack. COUNTY DISAGREES WITH FILING: Nominatim pl | https://www.openstreetmap.org/way/1221667976",2026-09-09
sub-mcknownville,way/86356092,McKownville Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Albany County: Spelling variant: OSM tags it 'McKownville Substation' (no second n), operator National Grid, 115000 V, substation=distribution, in the McKownville hamlet of Guilderland. Nominatim reverse-geocode: To | https://www.openstreetmap.org/way/86356092",2026-09-09
sub-milliken,way/571688108,(no name tag),"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Tompkins County: The Milliken 115 kV yard is mapped without a name tag: way 571688108 (power=substation, voltage=115000) at the Cayuga Power Plant (the renamed Milliken Station) on Milliken Station Road, Lansing; an a | https://www.openstreetmap.org/way/571688108",2026-09-09
sub-niagara-packard,way/147381638,Packard Substation,"research-identified 2026-09-09 (high), id verified in the NY extract, OSM county Niagara County: OSM 'Packard Substation' (substation=transmission, voltage 230000;115000) in the City of Niagara Falls; the automated match failed only because the filing prefixes 'Niagara'. Nominatim: City of Niagar | https://www.openstreetmap.org/way/147381638",2026-09-09
