source,locality,site_id,name,operator,status,sq_ft,mw,utility,self_generation,parcel_id,zoning_case,permit_case,address,year,notes
loudoun_existing_dc_parcel,Loudoun County,030297084000,NOKES PLAZA,MEDINA DC 2 ASSETS LLC,BUILT,88490.0,,,,030297084000,,B70071670100,,,Private
loudoun_existing_dc_parcel,Loudoun County,030391106000,NOKES PLAZA,MEDINA DC 2 ASSETS LLC,BUILT,76811.0,,,,030391106000,,B80062460200,,,Private
loudoun_existing_dc_parcel,Loudoun County,045279612000,ALIGNED ENERGY,ALIGNED DATA CENTERS RELO PROPCO LLC,BUILT,372751.0,,,,045279612000,ZMAP-2022-0008,"B20579100100,BLDC-2024-035070",,,Private
loudoun_existing_dc_parcel,Loudoun County,042295813000,STAVERTON/SEVERN,ELECTRIC BUILDING LLC,BUILT,36000.0,,,,042295813000,,B30278430100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060298548000,BEAUMEADE,RAGINGWIRE DATA CENTERS INC,BUILT,109320.0,,,,060298548000,ZRTD-2010-0005,,,,Private
loudoun_existing_dc_parcel,Loudoun County,060108050000,BEAUMEADE,BEAUMEADE TECHNOLOGY PARTNERS LLC,BUILT,152504.0,,,,060108050000,,B10168100100,,,Private
loudoun_existing_dc_parcel,Loudoun County,030399036000,LOUDOUN TECH CENTER,MEDINA DC 2 ASSETS LLC,BUILT,136482.0,,,,030399036000,,B10034630100,,,Private
loudoun_existing_dc_parcel,Loudoun County,060202337000,BEAUMEADE,MONTEREY DC ASSETS LLC,BUILT,164405.0,,,,060202337000,,"B00003900100,B00003910100",,,Private
loudoun_existing_dc_parcel,Loudoun County,044174648000,BROAD RUN TECHNOLOGY PARK,VERISIGN INC,BUILT,136908.0,,,,044174648000,,B10012090100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089372808000,DIGITAL REALTY CAMPUS 1,G I P STOUGHTON LLC,BUILT,135000.0,,,,089372808000,ZMAP-1989-0038,B20001440100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089367531000,DIGITAL REALTY CAMPUS 1,DIGITAL DEVIN SHAFRON D LLC,BUILT,117000.0,,,,089367531000,ZMAP-1989-0038,B20001450100,,,Private
loudoun_existing_dc_parcel,Loudoun County,045159083000,SUMMIT AT DULLES,FR SUMMIT LLC,BUILT,133620.0,,,,045159083000,,"B10039600100,B00043040200",,,Private
loudoun_existing_dc_parcel,Loudoun County,089382215000,DIGITAL REALTY CAMPUS 1,GI TC DEVIN SHAFRON LLC,BUILT,133560.0,,,,089382215000,ZMAP-1989-0038,B90122600100,,,Private
loudoun_existing_dc_parcel,Loudoun County,089278681000,DIGITAL REALTY CAMPUS 1,DIGITAL DEVIN SHAFRON B LLC,BUILT,180000.0,,,,089278681000,ZMAP-1989-0038,,,,Private
loudoun_existing_dc_parcel,Loudoun County,062462761000,DIGITAL LOUDOUN III (DIGITIAL REALITY CAMPUS 2),DIGITAL LOUDOUN 3 LLC,BUILT,1535869.0,,,,062462761000,ZMAP-1998-0003,"B80235230100,B60396960100,B10489000100,B80258290100",,,Private
loudoun_existing_dc_parcel,Loudoun County,061307725000,BEAUMEADE,EQUINIX LLC,BUILT,69800.0,,,,061307725000,,,,,Private
loudoun_existing_dc_parcel,Loudoun County,088481748000,ASHBURN CENTER NORTH,ZCOLO LLC,BUILT,286800.0,,,,088481748000,ZMAP-1988-0270,B10463800100,,,Private
