need_number,substations,studied_with,county,requesting_entity,is_data_center,mw_current,mw_history,revised,in_service,first_seen,last_seen,meetings,latest_stage,driver
DOM-2019-0021,Meadowville | Enon | Shand Creek | Enon Shand Creek | Bermuda Hundred | Chickahominy | Hopewell,DOM-2024-0022 DOM-2024-0023 DOM-2024-0024,,,yes,,,,,20260106,20260707,3,Solution Meeting,Do No Harm Analysis – Meadowville Load Area
DOM-2021-0006,Lebanon,,,,,,,,,20260508,20260508,2,Solution Meeting Update,
DOM-2022-0034,Mountain Run,,,,yes,,,,06/01/2024,20250204,20250204,2,Solutions Meeting,Customer Service
DOM-2022-0062-DNH,Tropical,DOM-2022-0062,,,,,,,,20260707,20260707,2,Solution Meeting,Do No Harm Analysis - Tropical
DOM-2023-0011,Atlas | Gemini,DOM-2023-0009-DNH,,DEV,yes,,,,04/01/2028,20260804,20260804,2,Update Meeting,Customer Service
DOM-2023-0023,,,,,,,,,,20260707,20260707,2,Solution Meeting,
DOM-2024-0004,Slayden Creek,,,DEV,yes,300.0,20260310:300.0,,1/01/2026,20260310,20260310,2,Solution Meeting,Customer Service
DOM-2024-0009,,,,ODEC,yes,,,,05/31/2025,20250605,20250605,2,Solutions Meeting,Customer Service
DOM-2024-0023,Meadowville | Sycamore Springs | Hopewell | Carson | Clubhouse,,,,,,,,,20250506,20250506,2,Solution Meeting,Do No Harm Analysis – Meadowville
DOM-2024-0025,Shawboro Switching | Elizabeth City,,,,,,,,,20250304,20250304,2,Solution Meeting,
DOM-2024-0036,James Hill Jamestown Drive | James Hill | Poe,,,DEV,yes,,,,12/31/2028,20260203,20260203,2,Solution Meeting,Customer Service
DOM-2024-0036-DNH,James Hill,DOM-2024-0036,,,,,,,,20260707,20260707,2,Solution Meeting,Do No Harm Analysis – James Hill
DOM-2024-0051,,DOM-2023-0016,,,yes,,,,,20250605,20260602,6,Solution Meeting,Operational Flexibility and Efficiency
DOM-2024-0054,,,,,,,,,,20250506,20250506,1,Solutions Meeting,
DOM-2024-0063-DNH,Vint Hill,DOM-2024-0063,,,,,,,,20250506,20250506,2,Solutions Meeting,Do No Harm Analysis
DOM-2024-0086,,,,,,,,,,20250204,20250204,2,Solutions Meeting,
DOM-2024-0087,,,,,,,,,,20250204,20250204,2,Solutions Meeting,
