meeting,page,need_number,needs_on_slide,substations,process_stage,driver,county,requesting_entity,mw,mw_basis,mw_all_values,in_service,is_data_center,text
20250107,3,DOM-2024-0018,DOM-2024-0018,Thicket,Solution Meeting,Customer Service,Henrico,DEV,,excluded_unanchored_mw,,,yes,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0018 Process Stage: Solution Meeting 01/07/2025 Previously Presented: Need Meeting 07/09/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250107,4,DOM-2024-0018,DOM-2024-0018 DOM-2022-0038-DNH,Thicket,Solution Meeting,Customer Service,,,,excluded_do_no_harm,,,,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Thicket 230kV Delivery - DEVNeed Number: DOM-2024-0018 Process Stage: Solution Meeting 01/07/2025 Project Driver: Customer Service Proposed Solution: Cut and loop future 230kV Line 2294 (Chickahominy to White Oak) in and out of proposed Thicket substation. Line 2294 to terminate in a 230kV six-breaker ring arrangement
20250107,5,DOM-2024-0020,DOM-2024-0020,Saltwood,Solution Meeting,Customer Service,Henrico,DEV,,excluded_unanchored_mw,,7/01/2027,yes,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0020 Process Stage: Solution Meeting 01/07/2025 Previously Presented: Need Meeting 07/09/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250107,6,DOM-2024-0020,DOM-2024-0020,Thicket | Saltwood,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Saltwood 230kV Delivery - DEV Need Number: DOM-2024-0020 Process Stage: Solution Meeting 01/07/2025 Project Driver: Customer Service Proposed Solution: Extend two 230kV lines from proposed Thicket substation to proposed Saltwood substation. Lines to terminate in a 230kV six-breaker ring arrangement. Estimated Project 
20250107,7,DOM-2024-0040,DOM-2024-0040,Bunker,Solution Meeting,Customer Service,Henrico,DEV,,excluded_unanchored_mw,,,yes,TEAC – Dominion Supplemental 01/07/2024 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0040 Process Stage: Solution Meeting 01/07/2025 Previously Presented: Need Meeting 08/06/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250107,8,DOM-2024-0040,DOM-2024-0040,Thicket | Saltwood | Bunker,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 01/07/2024 Dominion Transmission Zone: Supplemental Bunker 230kV Delivery - DEV Need Number: DOM-2024-0040 Process Stage: Solution Meeting 01/07/2025 Project Driver: Customer Service Proposed Solution: Cut and loop future 230kV line between proposed Thicket substation and proposed Saltwood substation in and out of proposed Bunker substation. Lines to terminate in a 230
20250107,9,DOM-2024-0019,DOM-2024-0019,Gray Bark,Solution Meeting,Customer Service,Henrico,DEV,,excluded_unanchored_mw,,7/01/2027,yes,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0019 Process Stage: Solution Meeting 01/07/2025 Previously Presented: Need Meeting 07/09/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements Document and Dominion’s
20250107,10,DOM-2024-0019,DOM-2024-0019,Saltwood | Gray Bark,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 01/07/2025 Dominion Transmission Zone: Supplemental Gray Bark 230kV Delivery - DEV Need Number: DOM-2024-0019 Process Stage: Solution Meeting 01/07/2025 Project Driver: Customer Service Proposed Solution: Extend two 230kV lines from proposed Saltwood substation to proposed Gray Bark substation. Cut and loop existing 230kV Line 2091 (Chickahominy to Portugee) into Gray 
20250204,3,DOM-2024-0031,DOM-2024-0031,Duval,Solution Meeting,Customer Service,Chesterfield,DEV,,excluded_unanchored_mw,,5/01/2027,,TEAC – Dominion Supplemental 2/04/2025 Duval Sub 230kV Delivery Dominion Transmission Zone: Supplemental Customer Load Request Need Number: DOM-2024-0031 Process Stage: Solution Meeting 2/04/2024 Previously Presented: Need Meeting 04/30/2024 Project Driver: Customer Service Specific Assumption References: Customer load request will be evaluated per Dominion’s Facility Interconnection Requirements 
20250204,4,DOM-2024-0031,DOM-2024-0031,Midlothian | Duval | Winterpock,Solution Meeting,Customer Service,,,,,,,,TEAC – Dominion Supplemental 2/04/2025 Dominion Transmission Zone: Supplemental Duval 230kV Delivery - DEV Need Number: DOM-2024-0031 Process Stage: Solution Meeting 2/04/2025 Project Driver: Customer Service Proposed Solution: Connect the new substation by extending four new 230kV lines from Midlothian substation to proposed Duval substation. Lines to terminate in a 230kV six-breaker ring arrange
